,RMNH.INS.1271298_An_messeae - rrnS gene,RMNH.INS.1271299_An_messeae - rrnS gene,RMNH.INS.1271300_An_messeae - rrnS gene,RMNH.INS.1271301_Cq_richiardii - rrnS gene,RMNH.INS.1271302_Cq_richiardii - rrnS gene,RMNH.INS.1271303_Cq_richiardii - rrnS gene,RMNH.INS.1271304_Ae_vexans - rrnS gene,RMNH.INS.1271305_Ae_vexans - rrnS gene,RMNH.INS.1271306_Ae_vexans - rrnS gene,RMNH.INS.1271307_Cs_annulata - rrnS gene,RMNH.INS.1271308_Cs_annulata - rrnS gene,RMNH.INS.1271309_Cs_annulata - rrnS gene,RMNH.INS.1271310_An_claviger - rrnS gene,RMNH.INS.1271311_An_claviger - rrnS gene,RMNH.INS.1271312_An_claviger - rrnS gene,RMNH.INS.1271313_Cx_modestus - rrnS gene,RMNH.INS.1271314_Cx_modestus - rrnS gene,RMNH.INS.1271315_Cx_modestus - rrnS gene,RMNH.INS.1271316_Cx_territans - rrnS gene,RMNH.INS.1271317_Cx_territans - rrnS gene,RMNH.INS.1271318_Cx_territans - rrnS gene,RMNH.INS.1271319_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271320_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271321_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271322_Cs_longiareolata - rrnS gene,RMNH.INS.1271323_Cs_longiareolata - rrnS gene,RMNH.INS.1271324_Cs_longiareolata - rrnS gene,RMNH.INS.1271325_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271326_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271327_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271328_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271329_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271330_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271331_Ae_rusticus - rrnS gene,RMNH.INS.1271332_Ae_rusticus - rrnS gene,RMNH.INS.1271333_Ae_rusticus - rrnS gene,RMNH.INS.1271334_Ae_communis - rrnS gene,RMNH.INS.1271335_Ae_communis - rrnS gene,RMNH.INS.1271336_Ae_communis - rrnS gene,RMNH.INS.1271337_Ae_punctor - rrnS gene,RMNH.INS.1271338_Ae_rusticus - rrnS gene,RMNH.INS.1271339_Ae_punctor - rrnS gene,RMNH.INS.1271340_Ae_geniculatus - rrnS gene,RMNH.INS.1271341_Ae_geniculatus - rrnS gene,RMNH.INS.1271342_Ae_geniculatus - rrnS gene,RMNH.INS.1271344_Cs_subochrea - rrnS gene,RMNH.INS.1271345_Cs_annulata - rrnS gene,RMNH.INS.1271346_Ae_caspius - rrnS gene,RMNH.INS.1271347_Ae_caspius - rrnS gene,RMNH.INS.1271348_Ae_caspius - rrnS gene,RMNH.INS.1271349_An_plumbeus - rrnS gene,RMNH.INS.1271350_An_plumbeus - rrnS gene,RMNH.INS.1271351_An_plumbeus - rrnS gene,RMNH.INS.1271352_Cs_annulata - rrnS gene,RMNH.INS.1271354_Cs_annulata - rrnS gene,RMNH.INS.1271355_Cx_pipiens - rrnS gene,RMNH.INS.1271356_Cx_pipiens - rrnS gene,RMNH.INS.1271357_Cx_pipiens - rrnS gene,RMNH.INS.1271358_Cs_morsitans - rrnS gene,RMNH.INS.1271359_Cs_morsitans - rrnS gene,RMNH.INS.1271360_Cs_morsitans - rrnS gene,RMNH.INS.1271361_Ae_sticticus - rrnS gene,RMNH.INS.1271362_Ae_sticticus - rrnS gene,RMNH.INS.1271363_Ae_sticticus - rrnS gene,RMNH.INS.1271367_Ae_detritus - rrnS gene,RMNH.INS.1271368_Ae_detritus - rrnS gene,RMNH.INS.1271369_Ae_caspius - rrnS gene,RMNH.INS.1271370_Ae_flavescens - rrnS gene,RMNH.INS.1271371_Ae_flavescens - rrnS gene,RMNH.INS.1271372_Ae_flavescens - rrnS gene,RMNH.INS.1271375_Ae_leucomelas - rrnS gene,RMNH.INS.1271376_Ae_albopictus - rrnS gene,RMNH.INS.1271377_Ae_albopictus - rrnS gene,RMNH.INS.1271378_Ae_albopictus - rrnS gene,RMNH.INS.1271379_Ae_japonicus - rrnS gene,RMNH.INS.1271380_Ae_japonicus - rrnS gene,RMNH.INS.1271381_Ae_japonicus - rrnS gene,RMNH.INS.1271382_Ae_aegypti - rrnS gene,RMNH.INS.1271383_Ae_aegypti - rrnS gene,RMNH.INS.1271384_Ae_aegypti - rrnS gene,RMNH.INS.1271386_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271389_Cs_ochroptera - rrnS gene
RMNH.INS.1271324_Cs_longiareolata - rrnS gene,89.281,89.281,89.281,91.888,91.888,91.888,94.564,94.444,94.564,94.962,95.680,95.812,89.029,89.029,88.903,93.156,93.156,93.283,94.051,94.162,94.162,93.434,93.434,93.434,100.000,100.000,,94.430,94.185,94.304,94.430,94.437,94.437,95.196,95.196,95.196,94.058,94.058,94.058,94.437,95.196,94.437,94.437,94.437,94.437,95.437,95.685,94.430,94.430,94.304,87.975,87.975,87.848,95.685,95.685,93.536,93.536,93.409,94.670,94.670,94.670,94.304,94.304,94.304,93.544,93.544,94.430,94.430,94.430,94.311,95.701,92.308,92.308,92.308,94.177,94.177,94.051,93.536,93.536,93.663,93.434,95.172
RMNH.INS.1271325_Ae_annulipes_cantans - rrnS gene,89.912,89.912,89.912,91.899,91.899,91.899,98.479,98.228,98.479,93.090,93.790,94.177,89.281,89.281,89.155,93.536,93.536,93.663,93.687,93.916,93.916,96.460,96.587,96.460,94.430,94.430,94.430,,99.747,99.619,100.000,99.747,99.747,98.226,98.226,98.226,97.465,97.465,97.465,97.972,98.226,97.972,97.719,97.719,97.719,93.173,93.797,98.096,98.096,97.970,88.734,88.734,88.608,93.797,93.797,93.663,93.663,93.536,93.418,93.418,93.418,97.845,97.845,97.845,96.827,97.081,98.096,99.619,99.619,99.493,99.043,95.449,95.449,95.449,96.827,96.827,96.701,95.939,96.066,96.193,96.460,94.297
RMNH.INS.1271326_Ae_annulipes_cantans - rrnS gene,89.798,89.798,89.798,91.656,91.656,91.656,98.228,97.977,98.228,92.848,93.544,93.932,89.043,89.043,88.917,93.291,93.291,93.418,93.443,93.671,93.671,96.212,96.338,96.212,94.185,94.185,94.185,99.747,,99.366,99.747,99.747,99.747,98.228,98.228,98.228,97.215,97.215,97.215,97.722,98.228,97.722,97.595,97.595,97.595,93.182,93.552,97.845,97.845,97.719,88.496,88.496,88.369,93.552,93.552,93.418,93.418,93.291,93.300,93.300,93.300,97.595,97.595,97.595,96.578,96.831,97.845,99.366,99.366,99.493,98.884,95.202,95.202,95.202,96.578,96.578,96.451,95.691,95.817,95.944,96.212,94.177
RMNH.INS.1271327_Ae_annulipes_cantans - rrnS gene,89.786,89.786,89.786,92.025,92.025,92.025,98.352,98.101,98.352,93.216,93.916,94.304,89.407,89.407,89.281,93.663,93.663,93.790,93.561,93.790,93.790,96.587,96.713,96.587,94.304,94.304,94.304,99.619,99.366,,99.619,99.620,99.620,98.099,98.099,98.099,97.592,97.592,97.592,98.099,98.099,98.099,97.592,97.592,97.592,93.300,93.924,97.970,97.970,97.843,88.608,88.608,88.481,93.924,93.924,93.790,93.790,93.663,93.544,93.544,93.544,97.719,97.719,97.719,96.954,97.208,97.970,99.239,99.239,99.113,98.884,95.575,95.575,95.575,96.954,96.954,96.827,96.066,96.193,96.320,96.587,94.423
RMNH.INS.1271328_Ae_annulipes_cantans - rrnS gene,89.912,89.912,89.912,91.899,91.899,91.899,98.479,98.228,98.479,93.090,93.790,94.177,89.281,89.281,89.155,93.536,93.536,93.663,93.687,93.916,93.916,96.460,96.587,96.460,94.430,94.430,94.430,100.000,99.747,99.619,,99.747,99.747,98.226,98.226,98.226,97.465,97.465,97.465,97.972,98.226,97.972,97.719,97.719,97.719,93.173,93.797,98.096,98.096,97.970,88.734,88.734,88.608,93.797,93.797,93.663,93.663,93.536,93.418,93.418,93.418,97.845,97.845,97.845,96.827,97.081,98.096,99.619,99.619,99.493,99.043,95.449,95.449,95.449,96.827,96.827,96.701,95.939,96.066,96.193,96.460,94.297
RMNH.INS.1271329_Ae_annulipes_cantans - rrnS gene,89.924,89.924,89.924,91.909,91.909,91.909,98.481,98.230,98.481,93.099,93.797,94.185,89.295,89.295,89.169,93.544,93.544,93.671,93.695,93.924,93.924,96.465,96.591,96.465,94.437,94.437,94.437,99.747,99.747,99.620,99.747,,100.000,98.228,98.228,98.228,97.468,97.468,97.468,97.975,98.228,97.975,97.722,97.722,97.722,93.182,93.805,98.099,98.099,97.972,88.748,88.748,88.622,93.805,93.805,93.671,93.671,93.544,93.426,93.426,93.426,97.848,97.848,97.848,96.831,97.085,98.099,99.366,99.366,99.493,99.203,95.455,95.455,95.455,96.831,96.831,96.705,95.944,96.071,96.198,96.465,94.304
RMNH.INS.1271330_Ae_annulipes_cantans - rrnS gene,89.924,89.924,89.924,91.909,91.909,91.909,98.481,98.230,98.481,93.099,93.797,94.185,89.295,89.295,89.169,93.544,93.544,93.671,93.695,93.924,93.924,96.465,96.591,96.465,94.437,94.437,94.437,99.747,99.747,99.620,99.747,100.000,,98.228,98.228,98.228,97.468,97.468,97.468,97.975,98.228,97.975,97.722,97.722,97.722,93.182,93.805,98.099,98.099,97.972,88.748,88.748,88.622,93.805,93.805,93.671,93.671,93.544,93.426,93.426,93.426,97.848,97.848,97.848,96.831,97.085,98.099,99.366,99.366,99.493,99.203,95.455,95.455,95.455,96.831,96.831,96.705,95.944,96.071,96.198,96.465,94.304
RMNH.INS.1271331_Ae_rusticus - rrnS gene,89.786,89.786,89.786,91.530,91.530,91.530,98.733,98.481,98.733,93.342,94.043,94.430,88.777,88.777,88.651,93.291,93.291,93.418,93.695,93.924,93.924,96.839,96.713,96.839,95.196,95.196,95.196,98.226,98.228,98.099,98.226,98.228,98.228,,100.000,100.000,97.085,97.085,97.085,97.338,100.000,97.338,97.338,97.338,97.338,93.932,94.051,98.477,98.477,98.350,88.101,88.101,87.975,94.051,94.051,93.924,93.924,93.797,93.671,93.671,93.671,97.845,97.845,97.845,97.462,97.462,98.477,98.352,98.352,98.228,98.565,95.443,95.443,95.443,96.954,96.954,96.827,96.066,96.193,96.320,96.839,93.924
RMNH.INS.1271332_Ae_rusticus - rrnS gene,89.786,89.786,89.786,91.530,91.530,91.530,98.733,98.481,98.733,93.342,94.043,94.430,88.777,88.777,88.651,93.291,93.291,93.418,93.695,93.924,93.924,96.839,96.713,96.839,95.196,95.196,95.196,98.226,98.228,98.099,98.226,98.228,98.228,100.000,,100.000,97.085,97.085,97.085,97.338,100.000,97.338,97.338,97.338,97.338,93.932,94.051,98.477,98.477,98.350,88.101,88.101,87.975,94.051,94.051,93.924,93.924,93.797,93.671,93.671,93.671,97.845,97.845,97.845,97.462,97.462,98.477,98.352,98.352,98.228,98.565,95.443,95.443,95.443,96.954,96.954,96.827,96.066,96.193,96.320,96.839,93.924
RMNH.INS.1271333_Ae_rusticus - rrnS gene,89.786,89.786,89.786,91.530,91.530,91.530,98.733,98.481,98.733,93.342,94.043,94.430,88.777,88.777,88.651,93.291,93.291,93.418,93.695,93.924,93.924,96.839,96.713,96.839,95.196,95.196,95.196,98.226,98.228,98.099,98.226,98.228,98.228,100.000,100.000,,97.085,97.085,97.085,97.338,100.000,97.338,97.338,97.338,97.338,93.932,94.051,98.477,98.477,98.350,88.101,88.101,87.975,94.051,94.051,93.924,93.924,93.797,93.671,93.671,93.671,97.845,97.845,97.845,97.462,97.462,98.477,98.352,98.352,98.228,98.565,95.443,95.443,95.443,96.954,96.954,96.827,96.066,96.193,96.320,96.839,93.924
RMNH.INS.1271334_Ae_communis - rrnS gene,88.539,88.539,88.539,91.403,91.403,91.403,97.089,96.839,97.089,92.974,93.671,94.058,88.665,88.665,88.539,92.785,92.785,92.911,92.812,93.038,93.038,96.086,95.960,96.086,94.058,94.058,94.058,97.465,97.215,97.592,97.465,97.468,97.468,97.085,97.085,97.085,,100.000,100.000,98.733,97.085,98.733,96.578,96.578,96.578,93.056,93.679,97.338,97.338,97.338,87.863,87.863,87.737,93.679,93.679,93.038,93.038,92.911,93.173,93.173,93.173,97.085,97.085,97.085,96.831,97.085,97.338,97.592,97.592,97.468,97.448,94.437,94.437,94.437,95.564,95.564,95.437,95.437,95.564,95.437,96.086,94.051
RMNH.INS.1271335_Ae_communis - rrnS gene,88.539,88.539,88.539,91.403,91.403,91.403,97.089,96.839,97.089,92.974,93.671,94.058,88.665,88.665,88.539,92.785,92.785,92.911,92.812,93.038,93.038,96.086,95.960,96.086,94.058,94.058,94.058,97.465,97.215,97.592,97.465,97.468,97.468,97.085,97.085,97.085,100.000,,100.000,98.733,97.085,98.733,96.578,96.578,96.578,93.056,93.679,97.338,97.338,97.338,87.863,87.863,87.737,93.679,93.679,93.038,93.038,92.911,93.173,93.173,93.173,97.085,97.085,97.085,96.831,97.085,97.338,97.592,97.592,97.468,97.448,94.437,94.437,94.437,95.564,95.564,95.437,95.437,95.564,95.437,96.086,94.051
RMNH.INS.1271336_Ae_communis - rrnS gene,88.539,88.539,88.539,91.403,91.403,91.403,97.089,96.839,97.089,92.974,93.671,94.058,88.665,88.665,88.539,92.785,92.785,92.911,92.812,93.038,93.038,96.086,95.960,96.086,94.058,94.058,94.058,97.465,97.215,97.592,97.465,97.468,97.468,97.085,97.085,97.085,100.000,100.000,,98.733,97.085,98.733,96.578,96.578,96.578,93.056,93.679,97.338,97.338,97.338,87.863,87.863,87.737,93.679,93.679,93.038,93.038,92.911,93.173,93.173,93.173,97.085,97.085,97.085,96.831,97.085,97.338,97.592,97.592,97.468,97.448,94.437,94.437,94.437,95.564,95.564,95.437,95.437,95.564,95.437,96.086,94.051
RMNH.INS.1271337_Ae_punctor - rrnS gene,88.791,88.791,88.791,92.035,92.035,92.035,97.342,97.092,97.342,93.099,93.797,94.185,88.539,88.539,88.413,93.797,93.797,93.924,93.190,93.418,93.418,96.338,96.465,96.338,94.437,94.437,94.437,97.972,97.722,98.099,97.972,97.975,97.975,97.338,97.338,97.338,98.733,98.733,98.733,,97.338,100.000,96.705,96.705,96.705,93.182,93.805,97.338,97.338,97.338,87.990,87.990,87.863,93.805,93.805,93.924,93.924,93.797,93.047,93.047,93.047,97.212,97.212,97.212,96.578,96.831,97.338,97.845,97.845,97.722,97.608,94.943,94.943,94.943,95.564,95.564,95.437,95.944,96.071,95.944,96.338,93.797
RMNH.INS.1271338_Ae_rusticus - rrnS gene,89.786,89.786,89.786,91.530,91.530,91.530,98.733,98.481,98.733,93.342,94.043,94.430,88.777,88.777,88.651,93.291,93.291,93.418,93.695,93.924,93.924,96.839,96.713,96.839,95.196,95.196,95.196,98.226,98.228,98.099,98.226,98.228,98.228,100.000,100.000,100.000,97.085,97.085,97.085,97.338,,97.338,97.338,97.338,97.338,93.932,94.051,98.477,98.477,98.350,88.101,88.101,87.975,94.051,94.051,93.924,93.924,93.797,93.671,93.671,93.671,97.845,97.845,97.845,97.462,97.462,98.477,98.352,98.352,98.228,98.565,95.443,95.443,95.443,96.954,96.954,96.827,96.066,96.193,96.320,96.839,93.924
RMNH.INS.1271339_Ae_punctor - rrnS gene,88.791,88.791,88.791,92.035,92.035,92.035,97.342,97.092,97.342,93.099,93.797,94.185,88.539,88.539,88.413,93.797,93.797,93.924,93.190,93.418,93.418,96.338,96.465,96.338,94.437,94.437,94.437,97.972,97.722,98.099,97.972,97.975,97.975,97.338,97.338,97.338,98.733,98.733,98.733,100.000,97.338,,96.705,96.705,96.705,93.182,93.805,97.338,97.338,97.338,87.990,87.990,87.863,93.805,93.805,93.924,93.924,93.797,93.047,93.047,93.047,97.212,97.212,97.212,96.578,96.831,97.338,97.845,97.845,97.722,97.608,94.943,94.943,94.943,95.564,95.564,95.437,95.944,96.071,95.944,96.338,93.797
RMNH.INS.1271340_Ae_geniculatus - rrnS gene,89.673,89.673,89.673,91.150,91.150,91.150,96.962,96.713,96.962,92.974,93.671,94.058,89.169,89.169,89.043,93.291,93.291,93.418,93.569,93.797,93.797,94.949,95.076,94.949,94.437,94.437,94.437,97.719,97.595,97.592,97.719,97.722,97.722,97.338,97.338,97.338,96.578,96.578,96.578,96.705,97.338,96.705,,100.000,100.000,93.434,93.679,96.705,96.705,96.578,88.875,88.875,88.748,93.679,93.679,93.165,93.165,93.291,93.300,93.300,93.300,96.578,96.578,96.578,96.071,96.071,96.705,97.592,97.592,97.468,97.767,95.575,95.575,95.575,96.071,96.071,95.944,95.437,95.564,95.691,94.949,94.430
RMNH.INS.1271341_Ae_geniculatus - rrnS gene,89.673,89.673,89.673,91.150,91.150,91.150,96.962,96.713,96.962,92.974,93.671,94.058,89.169,89.169,89.043,93.291,93.291,93.418,93.569,93.797,93.797,94.949,95.076,94.949,94.437,94.437,94.437,97.719,97.595,97.592,97.719,97.722,97.722,97.338,97.338,97.338,96.578,96.578,96.578,96.705,97.338,96.705,100.000,,100.000,93.434,93.679,96.705,96.705,96.578,88.875,88.875,88.748,93.679,93.679,93.165,93.165,93.291,93.300,93.300,93.300,96.578,96.578,96.578,96.071,96.071,96.705,97.592,97.592,97.468,97.767,95.575,95.575,95.575,96.071,96.071,95.944,95.437,95.564,95.691,94.949,94.430
RMNH.INS.1271342_Ae_geniculatus - rrnS gene,89.673,89.673,89.673,91.150,91.150,91.150,96.962,96.713,96.962,92.974,93.671,94.058,89.169,89.169,89.043,93.291,93.291,93.418,93.569,93.797,93.797,94.949,95.076,94.949,94.437,94.437,94.437,97.719,97.595,97.592,97.719,97.722,97.722,97.338,97.338,97.338,96.578,96.578,96.578,96.705,97.338,96.705,100.000,100.000,,93.434,93.679,96.705,96.705,96.578,88.875,88.875,88.748,93.679,93.679,93.165,93.165,93.291,93.300,93.300,93.300,96.578,96.578,96.578,96.071,96.071,96.705,97.592,97.592,97.468,97.767,95.575,95.575,95.575,96.071,96.071,95.944,95.437,95.564,95.691,94.949,94.430
RMNH.INS.1271344_Cs_subochrea - rrnS gene,88.777,88.777,88.777,92.532,92.532,92.532,93.552,93.308,93.552,97.601,97.840,97.967,88.525,88.525,88.398,93.038,93.038,93.165,93.813,94.043,94.043,92.920,92.920,92.920,95.437,95.437,95.437,93.173,93.182,93.300,93.173,93.182,93.182,93.932,93.932,93.932,93.056,93.056,93.056,93.182,93.932,93.182,93.434,93.434,93.434,,98.094,93.544,93.544,93.418,87.468,87.468,87.342,98.094,98.094,93.291,93.291,93.165,95.934,95.934,95.934,93.300,93.300,93.300,92.911,93.165,93.544,93.173,93.173,93.056,93.810,92.424,92.424,92.424,93.544,93.544,93.418,93.409,93.536,93.409,92.920,94.924
RMNH.INS.1271345_Cs_annulata - rrnS gene,88.763,88.763,88.763,93.029,93.029,93.029,93.924,93.679,93.924,99.242,99.746,99.618,88.889,88.889,88.763,93.536,93.536,93.663,93.426,93.655,93.655,93.165,93.165,93.165,95.685,95.685,95.685,93.797,93.552,93.924,93.797,93.805,93.805,94.051,94.051,94.051,93.679,93.679,93.679,93.805,94.051,93.805,93.679,93.679,93.679,98.094,,93.663,93.663,93.536,88.086,88.086,87.959,100.000,100.000,93.283,93.283,93.156,95.165,95.165,95.165,93.924,93.924,93.924,93.156,93.409,93.663,93.797,93.797,93.679,94.754,92.794,92.794,92.794,93.916,93.916,93.790,93.655,93.909,93.655,93.165,94.917
RMNH.INS.1271346_Ae_caspius - rrnS gene,89.760,89.760,89.760,91.635,91.635,91.635,98.604,98.352,98.604,92.956,93.655,94.043,89.001,89.001,88.875,93.274,93.274,93.401,93.805,94.036,94.036,96.582,96.456,96.582,94.430,94.430,94.430,98.096,97.845,97.970,98.096,98.099,98.099,98.477,98.477,98.477,97.338,97.338,97.338,97.338,98.477,97.338,96.705,96.705,96.705,93.544,93.663,,100.000,99.873,88.325,88.325,88.198,93.663,93.663,94.162,94.162,94.036,93.409,93.409,93.409,97.972,97.972,97.972,97.205,97.459,100.000,98.223,98.223,98.099,98.882,95.564,95.564,95.564,97.201,97.201,97.074,95.553,95.680,95.807,96.582,93.536
RMNH.INS.1271347_Ae_caspius - rrnS gene,89.760,89.760,89.760,91.635,91.635,91.635,98.604,98.352,98.604,92.956,93.655,94.043,89.001,89.001,88.875,93.274,93.274,93.401,93.805,94.036,94.036,96.582,96.456,96.582,94.430,94.430,94.430,98.096,97.845,97.970,98.096,98.099,98.099,98.477,98.477,98.477,97.338,97.338,97.338,97.338,98.477,97.338,96.705,96.705,96.705,93.544,93.663,100.000,,99.873,88.325,88.325,88.198,93.663,93.663,94.162,94.162,94.036,93.409,93.409,93.409,97.972,97.972,97.972,97.205,97.459,100.000,98.223,98.223,98.099,98.882,95.564,95.564,95.564,97.201,97.201,97.074,95.553,95.680,95.807,96.582,93.536
RMNH.INS.1271348_Ae_caspius - rrnS gene,89.633,89.633,89.633,91.508,91.508,91.508,98.731,98.479,98.731,92.830,93.528,93.916,88.875,88.875,88.748,93.147,93.147,93.274,93.679,93.909,93.909,96.456,96.329,96.456,94.304,94.304,94.304,97.970,97.719,97.843,97.970,97.972,97.972,98.350,98.350,98.350,97.338,97.338,97.338,97.338,98.350,97.338,96.578,96.578,96.578,93.418,93.536,99.873,99.873,,88.198,88.198,88.071,93.536,93.536,94.036,94.036,93.909,93.283,93.283,93.283,97.845,97.845,97.845,97.078,97.332,99.873,98.096,98.096,97.972,98.722,95.437,95.437,95.437,97.074,97.074,96.947,95.426,95.553,95.680,96.456,93.409
RMNH.INS.1271349_An_plumbeus - rrnS gene,93.266,93.266,93.266,86.185,86.185,86.185,88.608,88.369,88.608,87.421,88.310,88.340,93.011,93.011,92.884,86.819,86.819,86.946,86.995,87.199,87.199,86.726,86.726,86.726,87.975,87.975,87.975,88.734,88.496,88.608,88.734,88.748,88.748,88.101,88.101,88.101,87.863,87.863,87.863,87.990,88.101,87.990,88.875,88.875,88.875,87.468,88.086,88.325,88.325,88.198,,100.000,99.873,88.086,88.086,86.819,86.819,86.946,86.946,86.946,86.946,88.608,88.608,88.608,88.213,88.466,88.325,88.734,88.734,88.622,90.317,87.722,87.722,87.722,88.959,88.959,88.832,88.086,88.340,88.213,86.726,86.692
RMNH.INS.1271350_An_plumbeus - rrnS gene,93.266,93.266,93.266,86.185,86.185,86.185,88.608,88.369,88.608,87.421,88.310,88.340,93.011,93.011,92.884,86.819,86.819,86.946,86.995,87.199,87.199,86.726,86.726,86.726,87.975,87.975,87.975,88.734,88.496,88.608,88.734,88.748,88.748,88.101,88.101,88.101,87.863,87.863,87.863,87.990,88.101,87.990,88.875,88.875,88.875,87.468,88.086,88.325,88.325,88.198,100.000,,99.873,88.086,88.086,86.819,86.819,86.946,86.946,86.946,86.946,88.608,88.608,88.608,88.213,88.466,88.325,88.734,88.734,88.622,90.317,87.722,87.722,87.722,88.959,88.959,88.832,88.086,88.340,88.213,86.726,86.692
RMNH.INS.1271351_An_plumbeus - rrnS gene,93.139,93.139,93.139,86.058,86.058,86.058,88.481,88.243,88.481,87.296,88.183,88.213,92.884,92.884,92.757,86.692,86.692,86.819,86.869,87.072,87.072,86.599,86.599,86.599,87.848,87.848,87.848,88.608,88.369,88.481,88.608,88.622,88.622,87.975,87.975,87.975,87.737,87.737,87.737,87.863,87.975,87.863,88.748,88.748,88.748,87.342,87.959,88.198,88.198,88.071,99.873,99.873,,87.959,87.959,86.692,86.692,86.819,86.819,86.819,86.819,88.481,88.481,88.481,88.086,88.340,88.198,88.608,88.608,88.496,90.159,87.595,87.595,87.595,88.832,88.832,88.706,87.959,88.213,88.086,86.599,86.565
RMNH.INS.1271352_Cs_annulata - rrnS gene,88.763,88.763,88.763,93.029,93.029,93.029,93.924,93.679,93.924,99.242,99.746,99.618,88.889,88.889,88.763,93.536,93.536,93.663,93.426,93.655,93.655,93.165,93.165,93.165,95.685,95.685,95.685,93.797,93.552,93.924,93.797,93.805,93.805,94.051,94.051,94.051,93.679,93.679,93.679,93.805,94.051,93.805,93.679,93.679,93.679,98.094,100.000,93.663,93.663,93.536,88.086,88.086,87.959,,100.000,93.283,93.283,93.156,95.165,95.165,95.165,93.924,93.924,93.924,93.156,93.409,93.663,93.797,93.797,93.679,94.754,92.794,92.794,92.794,93.916,93.916,93.790,93.655,93.909,93.655,93.165,94.917
RMNH.INS.1271354_Cs_annulata - rrnS gene,88.763,88.763,88.763,93.029,93.029,93.029,93.924,93.679,93.924,99.242,99.746,99.618,88.889,88.889,88.763,93.536,93.536,93.663,93.426,93.655,93.655,93.165,93.165,93.165,95.685,95.685,95.685,93.797,93.552,93.924,93.797,93.805,93.805,94.051,94.051,94.051,93.679,93.679,93.679,93.805,94.051,93.805,93.679,93.679,93.679,98.094,100.000,93.663,93.663,93.536,88.086,88.086,87.959,100.000,,93.283,93.283,93.156,95.165,95.165,95.165,93.924,93.924,93.924,93.156,93.409,93.663,93.797,93.797,93.679,94.754,92.794,92.794,92.794,93.916,93.916,93.790,93.655,93.909,93.655,93.165,94.917
RMNH.INS.1271355_Cx_pipiens - rrnS gene,88.679,88.679,88.679,93.147,93.147,93.147,94.051,93.932,94.051,92.579,93.401,93.409,88.805,88.805,88.679,99.005,98.876,99.005,96.198,96.688,96.688,93.308,93.182,93.308,93.536,93.536,93.536,93.663,93.418,93.790,93.663,93.671,93.671,93.924,93.924,93.924,93.038,93.038,93.038,93.924,93.924,93.924,93.165,93.165,93.165,93.291,93.283,94.162,94.162,94.036,86.819,86.819,86.692,93.283,93.283,,100.000,99.876,93.401,93.401,93.401,94.423,94.423,94.423,93.536,93.790,94.162,93.790,93.790,93.671,94.418,91.358,91.358,91.358,93.020,93.020,92.893,93.274,93.274,93.147,93.308,92.630
RMNH.INS.1271356_Cx_pipiens - rrnS gene,88.679,88.679,88.679,93.147,93.147,93.147,94.051,93.932,94.051,92.579,93.401,93.409,88.805,88.805,88.679,99.005,98.876,99.005,96.198,96.688,96.688,93.308,93.182,93.308,93.536,93.536,93.536,93.663,93.418,93.790,93.663,93.671,93.671,93.924,93.924,93.924,93.038,93.038,93.038,93.924,93.924,93.924,93.165,93.165,93.165,93.291,93.283,94.162,94.162,94.036,86.819,86.819,86.692,93.283,93.283,100.000,,99.876,93.401,93.401,93.401,94.423,94.423,94.423,93.536,93.790,94.162,93.790,93.790,93.671,94.418,91.358,91.358,91.358,93.020,93.020,92.893,93.274,93.274,93.147,93.308,92.630
RMNH.INS.1271357_Cx_pipiens - rrnS gene,88.805,88.805,88.805,93.020,93.020,93.020,93.924,93.805,93.924,92.453,93.274,93.283,88.931,88.931,88.805,98.881,98.752,98.881,96.071,96.561,96.561,93.182,93.056,93.182,93.409,93.409,93.409,93.536,93.291,93.663,93.536,93.544,93.544,93.797,93.797,93.797,92.911,92.911,92.911,93.797,93.797,93.797,93.291,93.291,93.291,93.165,93.156,94.036,94.036,93.909,86.946,86.946,86.819,93.156,93.156,99.876,99.876,,93.274,93.274,93.274,94.297,94.297,94.297,93.663,93.916,94.036,93.663,93.663,93.544,94.258,91.481,91.481,91.481,92.893,92.893,92.766,93.147,93.147,93.020,93.182,92.503
RMNH.INS.1271358_Cs_morsitans - rrnS gene,88.889,88.889,88.889,92.649,92.649,92.649,93.924,93.805,93.924,94.444,94.911,95.293,88.510,88.510,88.384,93.020,93.020,93.147,93.426,93.901,93.901,93.038,92.911,93.038,94.670,94.670,94.670,93.418,93.300,93.544,93.418,93.426,93.426,93.671,93.671,93.671,93.173,93.173,93.173,93.047,93.671,93.047,93.300,93.300,93.300,95.934,95.165,93.409,93.409,93.283,86.946,86.946,86.819,95.165,95.165,93.401,93.401,93.274,,100.000,100.000,93.671,93.671,93.671,92.649,92.902,93.409,93.671,93.671,93.552,94.436,91.656,91.656,91.656,92.902,92.902,92.776,92.893,93.147,93.020,93.038,97.328
