,RMNH.INS.1271298_An_messeae - COX1 CDS,RMNH.INS.1271299_An_messeae - COX1 CDS,RMNH.INS.1271300_An_messeae - COX1 CDS,RMNH.INS.1271301_Cq_richiardii - COX1 CDS,RMNH.INS.1271302_Cq_richiardii - COX1 CDS,RMNH.INS.1271303_Cq_richiardii - COX1 CDS,RMNH.INS.1271304_Ae_vexans - COX1 CDS,RMNH.INS.1271305_Ae_vexans - COX1 CDS,RMNH.INS.1271306_Ae_vexans - COX1 CDS,RMNH.INS.1271307_Cs_annulata - COX1 CDS,RMNH.INS.1271308_Cs_annulata - COX1 CDS,RMNH.INS.1271309_Cs_annulata - COX1 CDS,RMNH.INS.1271310_An_claviger - COX1 CDS,RMNH.INS.1271311_An_claviger - COX1 CDS,RMNH.INS.1271312_An_claviger - COX1 CDS,RMNH.INS.1271313_Cx_modestus - COX1 CDS,RMNH.INS.1271314_Cx_modestus - COX1 CDS,RMNH.INS.1271315_Cx_modestus - COX1 CDS,RMNH.INS.1271316_Cx_territans - COX1 CDS,RMNH.INS.1271317_Cx_territans - COX1 CDS,RMNH.INS.1271318_Cx_territans - COX1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271322_Cs_longiareolata - COX1 CDS,RMNH.INS.1271323_Cs_longiareolata - COX1 CDS,RMNH.INS.1271324_Cs_longiareolata - COX1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271331_Ae_rusticus - COX1 CDS,RMNH.INS.1271332_Ae_rusticus - COX1 CDS,RMNH.INS.1271333_Ae_rusticus - COX1 CDS,RMNH.INS.1271334_Ae_communis - COX1 CDS,RMNH.INS.1271335_Ae_communis - COX1 CDS,RMNH.INS.1271336_Ae_communis - COX1 CDS,RMNH.INS.1271337_Ae_punctor - COX1 CDS,RMNH.INS.1271338_Ae_rusticus - COX1 CDS,RMNH.INS.1271339_Ae_punctor - COX1 CDS,RMNH.INS.1271340_Ae_geniculatus - COX1 CDS,RMNH.INS.1271341_Ae_geniculatus - COX1 CDS,RMNH.INS.1271342_Ae_geniculatus - COX1 CDS,RMNH.INS.1271344_Cs_subochrea - COX1 CDS,RMNH.INS.1271345_Cs_annulata - COX1 CDS,RMNH.INS.1271346_Ae_caspius - COX1 CDS,RMNH.INS.1271347_Ae_caspius - COX1 CDS,RMNH.INS.1271348_Ae_caspius - COX1 CDS,RMNH.INS.1271349_An_plumbeus - COX1 CDS,RMNH.INS.1271350_An_plumbeus - COX1 CDS,RMNH.INS.1271351_An_plumbeus - COX1 CDS,RMNH.INS.1271352_Cs_annulata - COX1 CDS,RMNH.INS.1271354_Cs_annulata - COX1 CDS,RMNH.INS.1271355_Cx_pipiens - COX1 CDS,RMNH.INS.1271356_Cx_pipiens - COX1 CDS,RMNH.INS.1271357_Cx_pipiens - COX1 CDS,RMNH.INS.1271358_Cs_morsitans - COX1 CDS,RMNH.INS.1271359_Cs_morsitans - COX1 CDS,RMNH.INS.1271360_Cs_morsitans - COX1 CDS,RMNH.INS.1271361_Ae_sticticus - COX1 CDS,RMNH.INS.1271362_Ae_sticticus - COX1 CDS,RMNH.INS.1271363_Ae_sticticus - COX1 CDS,RMNH.INS.1271367_Ae_detritus - COX1 CDS,RMNH.INS.1271368_Ae_detritus - COX1 CDS,RMNH.INS.1271369_Ae_caspius - COX1 CDS,RMNH.INS.1271370_Ae_flavescens - COX1 CDS,RMNH.INS.1271371_Ae_flavescens - COX1 CDS,RMNH.INS.1271372_Ae_flavescens - COX1 CDS,RMNH.INS.1271375_Ae_leucomelas - COX1 CDS,RMNH.INS.1271376_Ae_albopictus - COX1 CDS,RMNH.INS.1271377_Ae_albopictus - COX1 CDS,RMNH.INS.1271378_Ae_albopictus - COX1 CDS,RMNH.INS.1271379_Ae_japonicus - COX1 CDS,RMNH.INS.1271380_Ae_japonicus - COX1 CDS,RMNH.INS.1271381_Ae_japonicus - COX1 CDS,RMNH.INS.1271382_Ae_aegypti - COX1 CDS,RMNH.INS.1271383_Ae_aegypti - COX1 CDS,RMNH.INS.1271384_Ae_aegypti - COX1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271389_Cs_ochroptera - COX1 CDS
RMNH.INS.1271324_Cs_longiareolata - COX1 CDS,85.923,85.989,86.189,86.321,86.122,86.122,87.118,87.185,87.052,88.579,88.579,88.579,84.927,84.927,84.927,89.177,88.911,88.579,86.521,86.454,86.321,86.587,86.587,86.587,100.000,100.000,,86.189,86.321,86.255,86.189,86.321,86.255,87.583,87.517,87.517,86.321,86.454,86.454,85.790,87.450,85.790,86.919,86.919,86.919,88.098,88.579,86.653,87.118,86.919,86.122,86.122,86.122,88.579,88.579,88.778,88.845,88.778,87.517,87.384,87.384,87.052,87.052,86.919,87.052,87.052,87.251,86.388,86.388,86.454,86.587,86.521,86.521,86.388,85.923,85.923,86.122,86.521,86.720,86.853,86.388,88.114
RMNH.INS.1271325_Ae_annulipes_cantans - COX1 CDS,85.657,85.857,85.923,84.595,84.462,84.462,89.973,90.040,89.907,86.321,86.321,86.321,85.325,85.392,85.325,86.786,86.786,86.786,86.587,86.521,86.321,87.981,87.981,88.048,86.189,86.189,86.189,,99.535,98.406,99.867,98.539,98.473,91.301,91.368,91.368,91.235,91.368,91.368,90.704,91.301,90.704,89.774,89.774,89.774,87.234,86.321,92.032,92.032,91.965,85.325,85.325,85.325,86.321,86.321,88.181,88.247,88.181,86.321,86.255,86.255,90.173,90.173,90.106,90.903,91.102,91.965,95.485,95.485,95.551,92.098,87.450,87.450,87.317,89.509,89.509,89.575,88.645,88.712,88.579,87.849,87.450
RMNH.INS.1271326_Ae_annulipes_cantans - COX1 CDS,85.923,86.122,86.189,84.728,84.595,84.595,90.040,90.106,89.973,86.786,86.786,86.786,85.525,85.591,85.525,86.853,86.853,86.853,86.853,86.786,86.587,88.247,88.247,88.181,86.321,86.321,86.321,99.535,,98.871,99.535,98.871,98.805,91.434,91.501,91.501,91.501,91.633,91.633,91.036,91.434,91.036,89.907,89.907,89.907,87.500,86.786,91.965,92.032,92.032,85.458,85.458,85.458,86.786,86.786,88.313,88.380,88.313,86.255,86.189,86.189,90.438,90.438,90.372,91.235,91.434,91.965,95.618,95.618,95.684,92.364,87.716,87.716,87.583,89.641,89.641,89.708,88.778,88.977,88.845,88.114,87.583
RMNH.INS.1271327_Ae_annulipes_cantans - COX1 CDS,86.189,86.388,86.321,84.529,84.396,84.396,89.774,89.841,89.708,86.985,86.985,86.985,85.591,85.657,85.591,86.919,86.720,86.853,86.919,86.853,86.786,88.181,88.181,88.114,86.255,86.255,86.255,98.406,98.871,,98.406,98.938,98.871,91.301,91.368,91.301,91.633,91.766,91.766,91.301,91.301,91.301,89.973,89.973,89.973,87.301,86.985,91.766,91.965,91.833,85.724,85.724,85.724,86.985,86.985,88.247,88.313,88.247,86.388,86.321,86.321,90.173,90.173,90.106,91.301,91.368,91.899,95.684,95.684,95.750,92.497,87.583,87.583,87.450,89.641,89.641,89.708,88.977,89.110,88.712,88.181,87.649
RMNH.INS.1271328_Ae_annulipes_cantans - COX1 CDS,85.657,85.857,85.923,84.595,84.462,84.462,89.973,90.040,89.907,86.321,86.321,86.321,85.458,85.525,85.458,86.653,86.653,86.653,86.587,86.521,86.321,87.981,87.981,88.048,86.189,86.189,86.189,99.867,99.535,98.406,,98.539,98.473,91.301,91.368,91.368,91.235,91.368,91.368,90.704,91.301,90.704,89.774,89.774,89.774,87.234,86.321,92.032,92.032,91.965,85.325,85.325,85.325,86.321,86.321,88.181,88.247,88.181,86.321,86.255,86.255,90.173,90.173,90.106,91.036,91.102,91.965,95.485,95.485,95.551,92.231,87.450,87.450,87.317,89.509,89.509,89.575,88.645,88.712,88.579,87.849,87.450
RMNH.INS.1271329_Ae_annulipes_cantans - COX1 CDS,85.923,86.122,86.189,84.329,84.197,84.197,89.973,90.040,89.907,86.853,86.853,86.853,85.591,85.657,85.591,86.786,86.786,86.786,86.720,86.653,86.587,88.048,88.048,87.981,86.321,86.321,86.321,98.539,98.871,98.938,98.539,,99.668,91.102,91.169,91.169,91.501,91.501,91.501,90.969,91.102,90.969,89.907,89.907,89.907,87.168,86.853,91.633,91.833,91.700,85.458,85.458,85.458,86.853,86.853,88.181,88.247,88.181,86.786,86.587,86.587,90.040,90.040,89.973,90.903,91.102,91.766,95.618,95.618,95.684,92.165,87.517,87.517,87.384,89.708,89.708,89.907,88.645,88.977,88.845,88.048,87.317
RMNH.INS.1271330_Ae_annulipes_cantans - COX1 CDS,85.857,86.056,86.122,84.396,84.263,84.263,89.907,89.973,89.841,86.853,86.853,86.853,85.525,85.591,85.525,86.720,86.720,86.720,86.786,86.720,86.653,87.981,87.981,87.782,86.255,86.255,86.255,98.473,98.805,98.871,98.473,99.668,,91.102,91.169,91.169,91.301,91.434,91.434,90.903,91.102,90.903,89.907,89.907,89.907,87.168,86.853,91.700,91.766,91.633,85.525,85.525,85.525,86.853,86.853,87.981,88.048,87.981,86.587,86.388,86.388,90.173,90.173,90.106,90.969,91.036,91.700,95.485,95.485,95.551,91.965,87.583,87.583,87.450,89.641,89.641,89.841,88.579,88.911,88.778,87.849,87.251
RMNH.INS.1271331_Ae_rusticus - COX1 CDS,86.321,86.388,86.587,85.591,85.591,85.591,91.368,91.434,91.301,88.579,88.446,88.446,85.857,86.056,85.857,88.247,87.981,88.048,87.384,87.384,87.251,89.973,89.973,89.973,87.583,87.583,87.583,91.301,91.434,91.301,91.301,91.102,91.102,,99.801,99.801,90.837,90.903,90.903,90.040,99.867,90.040,90.903,90.903,90.903,88.697,88.446,91.368,91.633,91.501,85.989,85.989,85.989,88.446,88.446,89.708,89.774,89.708,87.782,87.782,87.782,91.169,91.169,91.169,90.903,91.102,91.700,91.235,91.235,91.235,91.235,88.048,88.048,87.981,90.173,90.173,90.106,89.044,89.177,88.911,89.708,88.911
RMNH.INS.1271332_Ae_rusticus - COX1 CDS,86.255,86.321,86.521,85.392,85.392,85.392,91.434,91.501,91.368,88.446,88.313,88.313,85.724,85.923,85.724,88.114,87.849,87.915,87.317,87.317,87.185,89.907,89.907,89.907,87.517,87.517,87.517,91.368,91.501,91.368,91.368,91.169,91.169,99.801,,99.867,90.704,90.770,90.770,89.973,99.934,89.973,90.704,90.704,90.704,88.564,88.313,91.235,91.501,91.368,85.923,85.923,85.923,88.313,88.313,89.575,89.641,89.575,87.716,87.716,87.716,91.102,91.102,91.102,90.837,91.036,91.567,91.301,91.301,91.301,91.301,87.981,87.981,87.915,89.973,89.973,90.040,88.977,89.110,88.845,89.641,88.845
RMNH.INS.1271333_Ae_rusticus - COX1 CDS,86.255,86.321,86.521,85.525,85.525,85.525,91.434,91.501,91.368,88.513,88.380,88.380,85.790,85.989,85.790,88.048,87.915,87.981,87.317,87.317,87.185,89.907,89.907,89.907,87.517,87.517,87.517,91.368,91.501,91.301,91.368,91.169,91.169,99.801,99.867,,90.704,90.770,90.770,89.973,99.934,89.973,90.837,90.837,90.837,88.630,88.380,91.301,91.567,91.434,85.923,85.923,85.923,88.380,88.380,89.641,89.708,89.641,87.583,87.583,87.583,91.102,91.102,91.102,90.704,90.903,91.633,91.301,91.301,91.301,91.169,87.981,87.981,87.915,90.106,90.106,90.040,88.977,89.110,88.845,89.641,88.778
RMNH.INS.1271334_Ae_communis - COX1 CDS,86.521,86.587,86.786,85.392,85.392,85.392,89.708,89.774,89.641,87.052,86.985,86.985,86.454,86.587,86.454,87.649,87.384,87.450,87.782,87.716,87.517,87.450,87.450,87.450,86.321,86.321,86.321,91.235,91.501,91.633,91.235,91.501,91.301,90.837,90.704,90.704,,99.867,99.867,94.555,90.704,94.555,90.040,90.040,90.040,87.434,86.985,92.364,92.563,92.629,85.591,85.591,85.591,86.985,86.985,88.380,88.446,88.380,86.853,86.786,86.786,91.301,91.301,91.235,91.368,91.434,92.497,90.770,90.770,90.770,92.231,87.716,87.716,87.583,89.708,89.708,89.708,87.716,87.716,87.849,87.384,88.446
RMNH.INS.1271335_Ae_communis - COX1 CDS,86.587,86.653,86.853,85.525,85.392,85.392,89.841,89.907,89.774,87.185,87.118,87.118,86.587,86.720,86.587,87.782,87.517,87.583,87.915,87.849,87.649,87.450,87.450,87.450,86.454,86.454,86.454,91.368,91.633,91.766,91.368,91.501,91.434,90.903,90.770,90.770,99.867,,100.000,94.688,90.770,94.688,90.173,90.173,90.173,87.566,87.118,92.497,92.696,92.762,85.724,85.724,85.724,87.118,87.118,88.380,88.446,88.380,86.985,86.919,86.919,91.434,91.434,91.368,91.501,91.567,92.629,90.903,90.903,90.903,92.231,87.849,87.849,87.716,89.708,89.708,89.708,87.849,87.849,87.981,87.384,88.579
RMNH.INS.1271336_Ae_communis - COX1 CDS,86.587,86.653,86.853,85.525,85.392,85.392,89.841,89.907,89.774,87.185,87.118,87.118,86.587,86.720,86.587,87.782,87.517,87.583,87.915,87.849,87.649,87.450,87.450,87.450,86.454,86.454,86.454,91.368,91.633,91.766,91.368,91.501,91.434,90.903,90.770,90.770,99.867,100.000,,94.688,90.770,94.688,90.173,90.173,90.173,87.566,87.118,92.497,92.696,92.762,85.724,85.724,85.724,87.118,87.118,88.380,88.446,88.380,86.985,86.919,86.919,91.434,91.434,91.368,91.501,91.567,92.629,90.903,90.903,90.903,92.231,87.849,87.849,87.716,89.708,89.708,89.708,87.849,87.849,87.981,87.384,88.579
RMNH.INS.1271337_Ae_punctor - COX1 CDS,85.657,85.857,85.458,84.529,84.396,84.396,88.645,88.712,88.579,86.388,86.321,86.321,84.927,84.993,85.060,86.653,86.321,86.454,86.985,86.919,86.720,87.185,87.185,87.251,85.790,85.790,85.790,90.704,91.036,91.301,90.704,90.969,90.903,90.040,89.973,89.973,94.555,94.688,94.688,,89.907,100.000,89.376,89.376,89.376,86.769,86.321,90.372,90.837,90.770,84.595,84.595,84.595,86.321,86.321,87.052,87.118,87.185,86.521,86.388,86.388,89.708,89.708,89.641,90.637,90.704,90.770,90.372,90.372,90.438,91.833,87.517,87.517,87.384,88.911,88.911,89.110,87.649,87.649,87.915,86.919,86.720
RMNH.INS.1271338_Ae_rusticus - COX1 CDS,86.189,86.255,86.454,85.458,85.458,85.458,91.368,91.434,91.301,88.446,88.313,88.313,85.724,85.923,85.724,88.114,87.849,87.915,87.251,87.251,87.118,89.841,89.841,89.841,87.450,87.450,87.450,91.301,91.434,91.301,91.301,91.102,91.102,99.867,99.934,99.934,90.704,90.770,90.770,89.907,,89.907,90.770,90.770,90.770,88.564,88.313,91.235,91.501,91.368,85.857,85.857,85.857,88.313,88.313,89.575,89.641,89.575,87.649,87.649,87.649,91.036,91.036,91.036,90.770,90.969,91.567,91.235,91.235,91.235,91.235,87.915,87.915,87.849,90.040,90.040,89.973,88.911,89.044,88.778,89.575,88.778
RMNH.INS.1271339_Ae_punctor - COX1 CDS,85.657,85.857,85.458,84.529,84.396,84.396,88.645,88.712,88.579,86.388,86.321,86.321,84.927,84.993,85.060,86.653,86.321,86.454,86.985,86.919,86.720,87.185,87.185,87.251,85.790,85.790,85.790,90.704,91.036,91.301,90.704,90.969,90.903,90.040,89.973,89.973,94.555,94.688,94.688,100.000,89.907,,89.376,89.376,89.376,86.769,86.321,90.372,90.837,90.770,84.595,84.595,84.595,86.321,86.321,87.052,87.118,87.185,86.521,86.388,86.388,89.708,89.708,89.641,90.637,90.704,90.770,90.372,90.372,90.438,91.833,87.517,87.517,87.384,88.911,88.911,89.110,87.649,87.649,87.915,86.919,86.720
RMNH.INS.1271340_Ae_geniculatus - COX1 CDS,85.591,85.790,85.657,85.857,85.657,85.657,88.977,89.044,88.911,87.450,87.317,87.317,86.587,86.786,86.587,87.185,87.185,87.251,87.450,87.384,87.185,87.517,87.517,87.450,86.919,86.919,86.919,89.774,89.907,89.973,89.774,89.907,89.907,90.903,90.704,90.837,90.040,90.173,90.173,89.376,90.770,89.376,,100.000,100.000,87.633,87.317,90.239,90.305,90.372,85.525,85.525,85.525,87.317,87.317,87.915,87.981,87.915,86.321,86.321,86.321,89.044,89.044,89.110,89.509,89.575,90.372,89.973,89.973,89.973,90.040,87.716,87.716,87.649,88.778,88.778,88.712,87.118,86.985,87.517,87.185,87.517
RMNH.INS.1271341_Ae_geniculatus - COX1 CDS,85.591,85.790,85.657,85.857,85.657,85.657,88.977,89.044,88.911,87.450,87.317,87.317,86.587,86.786,86.587,87.185,87.185,87.251,87.450,87.384,87.185,87.517,87.517,87.450,86.919,86.919,86.919,89.774,89.907,89.973,89.774,89.907,89.907,90.903,90.704,90.837,90.040,90.173,90.173,89.376,90.770,89.376,100.000,,100.000,87.633,87.317,90.239,90.305,90.372,85.525,85.525,85.525,87.317,87.317,87.915,87.981,87.915,86.321,86.321,86.321,89.044,89.044,89.110,89.509,89.575,90.372,89.973,89.973,89.973,90.040,87.716,87.716,87.649,88.778,88.778,88.712,87.118,86.985,87.517,87.185,87.517
RMNH.INS.1271342_Ae_geniculatus - COX1 CDS,85.591,85.790,85.657,85.857,85.657,85.657,88.977,89.044,88.911,87.450,87.317,87.317,86.587,86.786,86.587,87.185,87.185,87.251,87.450,87.384,87.185,87.517,87.517,87.450,86.919,86.919,86.919,89.774,89.907,89.973,89.774,89.907,89.907,90.903,90.704,90.837,90.040,90.173,90.173,89.376,90.770,89.376,100.000,100.000,,87.633,87.317,90.239,90.305,90.372,85.525,85.525,85.525,87.317,87.317,87.915,87.981,87.915,86.321,86.321,86.321,89.044,89.044,89.110,89.509,89.575,90.372,89.973,89.973,89.973,90.040,87.716,87.716,87.649,88.778,88.778,88.712,87.118,86.985,87.517,87.185,87.517
RMNH.INS.1271344_Cs_subochrea - COX1 CDS,86.769,86.968,86.769,85.638,85.439,85.439,87.899,87.965,87.832,95.944,95.944,95.878,85.638,85.705,85.638,88.098,87.965,87.899,87.699,87.633,87.434,86.503,86.503,86.436,88.098,88.098,88.098,87.234,87.500,87.301,87.234,87.168,87.168,88.697,88.564,88.630,87.434,87.566,87.566,86.769,88.564,86.769,87.633,87.633,87.633,,95.944,87.500,87.965,87.965,84.840,84.840,84.840,95.944,95.944,88.497,88.564,88.630,88.098,87.899,87.899,87.566,87.566,87.434,87.434,87.699,87.965,86.835,86.835,86.769,87.899,86.303,86.303,86.170,86.902,86.902,87.035,85.971,86.237,86.237,86.370,89.029
RMNH.INS.1271345_Cs_annulata - COX1 CDS,86.919,87.118,86.985,85.591,85.392,85.392,87.583,87.649,87.517,99.867,100.000,99.934,85.193,85.193,85.193,87.915,87.716,87.517,88.048,87.981,88.048,86.388,86.388,86.388,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.446,88.313,88.380,86.985,87.118,87.118,86.321,88.313,86.321,87.317,87.317,87.317,95.944,,87.981,88.247,88.380,84.993,84.993,84.993,100.000,100.000,88.845,88.911,88.977,88.048,87.849,87.849,87.649,87.649,87.517,87.450,87.782,88.247,86.985,86.985,86.786,87.251,86.521,86.521,86.521,86.653,86.653,86.786,85.923,86.388,86.255,86.388,89.177
RMNH.INS.1271346_Ae_caspius - COX1 CDS,87.251,87.450,87.317,85.126,84.993,84.993,90.438,90.505,90.438,88.048,87.981,87.981,86.056,86.122,86.056,87.915,87.849,87.782,87.384,87.317,87.118,88.446,88.446,88.380,86.653,86.653,86.653,92.032,91.965,91.766,92.032,91.633,91.700,91.368,91.235,91.301,92.364,92.497,92.497,90.372,91.235,90.372,90.239,90.239,90.239,87.500,87.981,,99.070,99.469,85.259,85.259,85.259,87.981,87.981,89.442,89.509,89.442,86.521,86.388,86.388,91.235,91.235,91.169,90.505,90.837,99.004,91.567,91.567,91.633,91.301,88.181,88.181,88.048,89.907,89.907,89.907,88.845,88.579,88.513,88.313,88.446
RMNH.INS.1271347_Ae_caspius - COX1 CDS,87.384,87.583,87.583,85.392,85.259,85.259,90.637,90.704,90.637,88.313,88.247,88.247,86.321,86.388,86.321,88.313,88.247,88.181,87.583,87.517,87.317,88.712,88.712,88.778,87.118,87.118,87.118,92.032,92.032,91.965,92.032,91.833,91.766,91.633,91.501,91.567,92.563,92.696,92.696,90.837,91.501,90.837,90.305,90.305,90.305,87.965,88.247,99.070,,99.402,85.657,85.657,85.657,88.247,88.247,89.575,89.641,89.575,87.118,86.985,86.985,91.434,91.434,91.368,90.438,91.036,99.801,91.766,91.766,91.833,91.567,88.313,88.313,88.181,90.305,90.305,90.438,88.977,88.845,88.911,88.579,88.513
RMNH.INS.1271348_Ae_caspius - COX1 CDS,87.450,87.649,87.649,85.525,85.392,85.392,90.571,90.637,90.571,88.446,88.380,88.380,86.189,86.255,86.189,88.114,88.048,87.981,87.450,87.384,87.185,88.446,88.446,88.513,86.919,86.919,86.919,91.965,92.032,91.833,91.965,91.700,91.633,91.501,91.368,91.434,92.629,92.762,92.762,90.770,91.368,90.770,90.372,90.372,90.372,87.965,88.380,99.469,99.402,,85.525,85.525,85.525,88.380,88.380,89.509,89.575,89.641,86.919,86.786,86.786,91.434,91.434,91.368,90.438,91.036,99.336,91.766,91.766,91.833,91.633,88.380,88.380,88.247,90.372,90.372,90.372,89.110,88.845,88.911,88.446,88.645
RMNH.INS.1271349_An_plumbeus - COX1 CDS,87.649,87.849,87.782,85.126,85.060,85.060,86.321,86.388,86.321,84.993,84.993,84.993,87.251,87.384,87.251,86.056,85.923,85.790,85.193,85.392,85.325,86.122,86.122,86.056,86.122,86.122,86.122,85.325,85.458,85.724,85.325,85.458,85.525,85.989,85.923,85.923,85.591,85.724,85.724,84.595,85.857,84.595,85.525,85.525,85.525,84.840,84.993,85.259,85.657,85.525,,100.000,100.000,84.993,84.993,85.790,85.790,85.724,84.927,84.861,84.861,86.388,86.388,86.255,84.861,84.529,85.857,85.325,85.325,85.392,85.724,85.923,85.923,85.857,85.525,85.525,85.657,85.657,85.989,85.790,86.122,85.923
RMNH.INS.1271350_An_plumbeus - COX1 CDS,87.649,87.849,87.782,85.126,85.060,85.060,86.321,86.388,86.321,84.993,84.993,84.993,87.251,87.384,87.251,86.056,85.923,85.790,85.193,85.392,85.325,86.122,86.122,86.056,86.122,86.122,86.122,85.325,85.458,85.724,85.325,85.458,85.525,85.989,85.923,85.923,85.591,85.724,85.724,84.595,85.857,84.595,85.525,85.525,85.525,84.840,84.993,85.259,85.657,85.525,100.000,,100.000,84.993,84.993,85.790,85.790,85.724,84.927,84.861,84.861,86.388,86.388,86.255,84.861,84.529,85.857,85.325,85.325,85.392,85.724,85.923,85.923,85.857,85.525,85.525,85.657,85.657,85.989,85.790,86.122,85.923
RMNH.INS.1271351_An_plumbeus - COX1 CDS,87.649,87.849,87.782,85.126,85.060,85.060,86.321,86.388,86.321,84.993,84.993,84.993,87.251,87.384,87.251,86.056,85.923,85.790,85.193,85.392,85.325,86.122,86.122,86.056,86.122,86.122,86.122,85.325,85.458,85.724,85.325,85.458,85.525,85.989,85.923,85.923,85.591,85.724,85.724,84.595,85.857,84.595,85.525,85.525,85.525,84.840,84.993,85.259,85.657,85.525,100.000,100.000,,84.993,84.993,85.790,85.790,85.724,84.927,84.861,84.861,86.388,86.388,86.255,84.861,84.529,85.857,85.325,85.325,85.392,85.724,85.923,85.923,85.857,85.525,85.525,85.657,85.657,85.989,85.790,86.122,85.923
RMNH.INS.1271352_Cs_annulata - COX1 CDS,86.919,87.118,86.985,85.591,85.392,85.392,87.583,87.649,87.517,99.867,100.000,99.934,85.193,85.193,85.193,87.915,87.716,87.517,88.048,87.981,88.048,86.388,86.388,86.388,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.446,88.313,88.380,86.985,87.118,87.118,86.321,88.313,86.321,87.317,87.317,87.317,95.944,100.000,87.981,88.247,88.380,84.993,84.993,84.993,,100.000,88.845,88.911,88.977,88.048,87.849,87.849,87.649,87.649,87.517,87.450,87.782,88.247,86.985,86.985,86.786,87.251,86.521,86.521,86.521,86.653,86.653,86.786,85.923,86.388,86.255,86.388,89.177
RMNH.INS.1271354_Cs_annulata - COX1 CDS,86.919,87.118,86.985,85.591,85.392,85.392,87.583,87.649,87.517,99.867,100.000,99.934,85.193,85.193,85.193,87.915,87.716,87.517,88.048,87.981,88.048,86.388,86.388,86.388,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.446,88.313,88.380,86.985,87.118,87.118,86.321,88.313,86.321,87.317,87.317,87.317,95.944,100.000,87.981,88.247,88.380,84.993,84.993,84.993,100.000,,88.845,88.911,88.977,88.048,87.849,87.849,87.649,87.649,87.517,87.450,87.782,88.247,86.985,86.985,86.786,87.251,86.521,86.521,86.521,86.653,86.653,86.786,85.923,86.388,86.255,86.388,89.177
RMNH.INS.1271355_Cx_pipiens - COX1 CDS,86.919,87.118,86.919,86.720,86.521,86.521,89.442,89.442,89.376,88.845,88.845,88.845,88.048,88.114,88.114,93.958,93.758,93.493,88.712,88.645,88.446,88.114,88.114,88.048,88.778,88.778,88.778,88.181,88.313,88.247,88.181,88.181,87.981,89.708,89.575,89.641,88.380,88.380,88.380,87.052,89.575,87.052,87.915,87.915,87.915,88.497,88.845,89.442,89.575,89.509,85.790,85.790,85.790,88.845,88.845,,99.934,99.801,87.583,87.583,87.583,88.712,88.712,88.579,88.380,88.911,89.509,87.915,87.915,87.981,88.778,87.517,87.517,87.384,87.782,87.782,87.716,88.247,88.048,87.782,88.114,89.509
RMNH.INS.1271356_Cx_pipiens - COX1 CDS,86.985,87.185,86.985,86.786,86.587,86.587,89.509,89.509,89.442,88.911,88.911,88.911,88.114,88.181,88.181,94.024,93.825,93.559,88.778,88.712,88.513,88.114,88.114,88.048,88.845,88.845,88.845,88.247,88.380,88.313,88.247,88.247,88.048,89.774,89.641,89.708,88.446,88.446,88.446,87.118,89.641,87.118,87.981,87.981,87.981,88.564,88.911,89.509,89.641,89.575,85.790,85.790,85.790,88.911,88.911,99.934,,99.867,87.649,87.649,87.649,88.778,88.778,88.645,88.380,88.911,89.575,87.981,87.981,88.048,88.845,87.583,87.583,87.450,87.849,87.849,87.782,88.313,88.114,87.849,88.114,89.575
RMNH.INS.1271357_Cx_pipiens - COX1 CDS,86.919,87.118,86.919,86.853,86.653,86.653,89.442,89.442,89.376,88.977,88.977,88.977,87.981,88.048,88.048,93.891,93.692,93.426,88.712,88.645,88.446,88.048,88.048,87.981,88.778,88.778,88.778,88.181,88.313,88.247,88.181,88.181,87.981,89.708,89.575,89.641,88.380,88.380,88.380,87.185,89.575,87.185,87.915,87.915,87.915,88.630,88.977,89.442,89.575,89.641,85.724,85.724,85.724,88.977,88.977,99.801,99.867,,87.716,87.716,87.716,88.845,88.845,88.712,88.313,88.845,89.509,88.048,88.048,88.114,88.911,87.517,87.517,87.384,87.915,87.915,87.849,88.380,88.181,87.915,88.048,89.509
