,RMNH.INS.1271298_An_messeae - ND4L CDS,RMNH.INS.1271299_An_messeae - ND4L CDS,RMNH.INS.1271300_An_messeae - ND4L CDS,RMNH.INS.1271301_Cq_richiardii - ND4L CDS,RMNH.INS.1271302_Cq_richiardii - ND4L CDS,RMNH.INS.1271303_Cq_richiardii - ND4L CDS,RMNH.INS.1271304_Ae_vexans - ND4L CDS,RMNH.INS.1271305_Ae_vexans - ND4L CDS,RMNH.INS.1271306_Ae_vexans - ND4L CDS,RMNH.INS.1271307_Cs_annulata - ND4L CDS,RMNH.INS.1271308_Cs_annulata - ND4L CDS,RMNH.INS.1271309_Cs_annulata - ND4L CDS,RMNH.INS.1271310_An_claviger - ND4L CDS,RMNH.INS.1271311_An_claviger - ND4L CDS,RMNH.INS.1271312_An_claviger - ND4L CDS,RMNH.INS.1271313_Cx_modestus - ND4L CDS,RMNH.INS.1271314_Cx_modestus - ND4L CDS,RMNH.INS.1271315_Cx_modestus - ND4L CDS,RMNH.INS.1271316_Cx_territans - ND4L CDS,RMNH.INS.1271317_Cx_territans - ND4L CDS,RMNH.INS.1271318_Cx_territans - ND4L CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271322_Cs_longiareolata - ND4L CDS,RMNH.INS.1271323_Cs_longiareolata - ND4L CDS,RMNH.INS.1271324_Cs_longiareolata - ND4L CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND4L CDS,RMNH.INS.1271331_Ae_rusticus - ND4L CDS,RMNH.INS.1271332_Ae_rusticus - ND4L CDS,RMNH.INS.1271333_Ae_rusticus - ND4L CDS,RMNH.INS.1271334_Ae_communis - ND4L CDS,RMNH.INS.1271335_Ae_communis - ND4L CDS,RMNH.INS.1271336_Ae_communis - ND4L CDS,RMNH.INS.1271337_Ae_punctor - ND4L CDS,RMNH.INS.1271338_Ae_rusticus - ND4L CDS,RMNH.INS.1271339_Ae_punctor - ND4L CDS,RMNH.INS.1271340_Ae_geniculatus - ND4L CDS,RMNH.INS.1271341_Ae_geniculatus - ND4L CDS,RMNH.INS.1271342_Ae_geniculatus - ND4L CDS,RMNH.INS.1271344_Cs_subochrea - ND4L CDS,RMNH.INS.1271345_Cs_annulata - ND4L CDS,RMNH.INS.1271346_Ae_caspius - ND4L CDS,RMNH.INS.1271347_Ae_caspius - ND4L CDS,RMNH.INS.1271348_Ae_caspius - ND4L CDS,RMNH.INS.1271349_An_plumbeus - ND4L CDS,RMNH.INS.1271350_An_plumbeus - ND4L CDS,RMNH.INS.1271351_An_plumbeus - ND4L CDS,RMNH.INS.1271352_Cs_annulata - ND4L CDS,RMNH.INS.1271354_Cs_annulata - ND4L CDS,RMNH.INS.1271355_Cx_pipiens - ND4L CDS,RMNH.INS.1271356_Cx_pipiens - ND4L CDS,RMNH.INS.1271357_Cx_pipiens - ND4L CDS,RMNH.INS.1271358_Cs_morsitans - ND4L CDS,RMNH.INS.1271359_Cs_morsitans - ND4L CDS,RMNH.INS.1271360_Cs_morsitans - ND4L CDS,RMNH.INS.1271361_Ae_sticticus - ND4L CDS,RMNH.INS.1271362_Ae_sticticus - ND4L CDS,RMNH.INS.1271363_Ae_sticticus - ND4L CDS,RMNH.INS.1271367_Ae_detritus - ND4L CDS,RMNH.INS.1271368_Ae_detritus - ND4L CDS,RMNH.INS.1271369_Ae_caspius - ND4L CDS,RMNH.INS.1271370_Ae_flavescens - ND4L CDS,RMNH.INS.1271371_Ae_flavescens - ND4L CDS,RMNH.INS.1271372_Ae_flavescens - ND4L CDS,RMNH.INS.1271375_Ae_leucomelas - ND4L CDS,RMNH.INS.1271376_Ae_albopictus - ND4L CDS,RMNH.INS.1271377_Ae_albopictus - ND4L CDS,RMNH.INS.1271378_Ae_albopictus - ND4L CDS,RMNH.INS.1271379_Ae_japonicus - ND4L CDS,RMNH.INS.1271380_Ae_japonicus - ND4L CDS,RMNH.INS.1271381_Ae_japonicus - ND4L CDS,RMNH.INS.1271382_Ae_aegypti - ND4L CDS,RMNH.INS.1271383_Ae_aegypti - ND4L CDS,RMNH.INS.1271384_Ae_aegypti - ND4L CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND4L CDS,RMNH.INS.1271389_Cs_ochroptera - ND4L CDS
RMNH.INS.1271324_Cs_longiareolata - ND4L CDS,85.000,85.333,84.667,87.000,87.000,87.000,88.000,88.000,88.000,89.000,89.000,89.000,84.667,84.667,84.667,86.667,87.667,87.667,86.000,86.000,86.000,87.667,88.000,88.000,100.000,100.000,,89.000,89.333,88.667,89.000,89.333,89.333,88.333,88.333,88.000,88.667,88.667,88.667,87.667,88.333,87.667,88.667,88.667,88.333,88.333,89.000,89.667,89.000,89.667,85.333,85.333,85.333,89.000,89.000,86.667,86.667,86.667,90.333,90.333,90.333,88.333,88.333,88.333,88.333,89.333,89.000,88.667,88.667,88.667,89.000,86.333,86.333,86.333,87.000,87.000,87.333,88.000,88.000,87.667,88.000,89.333
RMNH.INS.1271325_Ae_annulipes_cantans - ND4L CDS,87.333,87.667,87.000,87.205,87.205,87.205,94.613,94.613,94.613,89.000,89.000,89.000,87.667,87.667,87.667,88.333,88.667,88.667,88.333,88.333,88.333,93.266,93.939,93.603,89.000,89.000,89.000,,99.663,99.663,100.000,99.327,99.327,96.296,96.296,95.960,94.949,94.949,94.949,92.929,96.296,92.929,95.286,95.286,94.613,90.667,89.000,97.306,96.296,96.970,84.333,84.333,84.333,89.000,89.000,89.000,89.000,89.000,90.000,90.000,90.000,95.286,95.286,95.286,95.286,95.960,96.296,98.990,98.990,98.990,96.296,91.919,91.919,91.919,92.929,92.929,93.266,91.919,91.919,91.919,93.603,88.667
RMNH.INS.1271326_Ae_annulipes_cantans - ND4L CDS,87.667,88.000,87.333,87.542,87.542,87.542,94.949,94.949,94.949,89.333,89.333,89.333,88.000,88.000,88.000,88.667,89.000,89.000,88.667,88.667,88.667,93.603,94.276,93.939,89.333,89.333,89.333,99.663,,99.327,99.663,98.990,99.663,96.633,96.633,96.296,95.286,95.286,95.286,93.266,96.633,93.266,95.623,95.623,94.949,91.000,89.333,97.643,96.633,97.306,84.667,84.667,84.667,89.333,89.333,88.667,88.667,88.667,90.333,90.333,90.333,95.623,95.623,95.623,95.623,96.296,96.633,99.327,99.327,99.327,96.633,92.256,92.256,92.256,93.266,93.266,93.603,91.582,91.582,91.582,93.939,89.000
RMNH.INS.1271327_Ae_annulipes_cantans - ND4L CDS,87.667,88.000,87.333,86.869,86.869,86.869,94.276,94.276,94.276,88.667,88.667,88.667,87.333,87.333,87.333,88.333,88.667,88.667,88.333,88.333,88.333,92.929,93.603,93.266,88.667,88.667,88.667,99.663,99.327,,99.663,98.990,98.990,96.296,96.296,95.960,94.613,94.613,94.613,92.593,96.296,92.593,95.286,95.286,94.613,90.333,88.667,97.306,96.296,96.970,84.000,84.000,84.000,88.667,88.667,89.000,89.000,89.000,90.000,90.000,90.000,95.286,95.286,95.286,95.286,95.960,96.296,99.327,99.327,99.327,95.960,92.256,92.256,92.256,93.266,93.266,93.603,91.582,91.582,91.582,93.266,88.333
RMNH.INS.1271328_Ae_annulipes_cantans - ND4L CDS,87.333,87.667,87.000,87.205,87.205,87.205,94.613,94.613,94.613,89.000,89.000,89.000,87.667,87.667,87.667,88.333,88.667,88.667,88.333,88.333,88.333,93.266,93.939,93.603,89.000,89.000,89.000,100.000,99.663,99.663,,99.327,99.327,96.296,96.296,95.960,94.949,94.949,94.949,92.929,96.296,92.929,95.286,95.286,94.613,90.667,89.000,97.306,96.296,96.970,84.333,84.333,84.333,89.000,89.000,89.000,89.000,89.000,90.000,90.000,90.000,95.286,95.286,95.286,95.286,95.960,96.296,98.990,98.990,98.990,96.296,91.919,91.919,91.919,92.929,92.929,93.266,91.919,91.919,91.919,93.603,88.667
RMNH.INS.1271329_Ae_annulipes_cantans - ND4L CDS,87.333,87.667,87.000,87.205,87.205,87.205,94.613,94.613,94.613,89.000,89.000,89.000,87.667,87.667,87.667,88.333,88.667,88.667,87.667,87.667,87.667,93.266,93.939,93.603,89.333,89.333,89.333,99.327,98.990,98.990,99.327,,99.327,96.296,96.296,95.960,94.949,94.949,94.949,92.929,96.296,92.929,95.286,95.286,94.613,90.667,89.000,97.306,96.296,96.970,85.000,85.000,85.000,89.000,89.000,89.000,89.000,89.000,90.000,90.000,90.000,95.286,95.286,95.286,95.286,95.960,96.296,98.316,98.316,98.316,96.296,91.919,91.919,91.919,92.929,92.929,93.266,91.919,91.919,91.919,93.603,88.667
RMNH.INS.1271330_Ae_annulipes_cantans - ND4L CDS,87.333,87.667,87.000,87.205,87.205,87.205,94.613,94.613,94.613,89.000,89.000,89.000,87.667,87.667,87.667,88.333,88.667,88.667,88.333,88.333,88.333,93.266,93.939,93.603,89.333,89.333,89.333,99.327,99.663,98.990,99.327,99.327,,96.296,96.296,95.960,94.949,94.949,94.949,92.929,96.296,92.929,95.286,95.286,94.613,90.667,89.000,97.306,96.296,96.970,85.000,85.000,85.000,89.000,89.000,88.333,88.333,88.333,90.000,90.000,90.000,95.286,95.286,95.286,95.286,95.960,96.296,98.990,98.990,98.990,96.296,91.919,91.919,91.919,92.929,92.929,93.266,91.246,91.246,91.246,93.603,88.667
RMNH.INS.1271331_Ae_rusticus - ND4L CDS,88.667,89.000,88.333,87.205,87.205,87.205,94.276,94.276,94.276,88.333,88.333,88.333,87.333,87.333,87.333,88.333,89.333,89.333,87.000,87.000,87.000,93.266,93.939,93.603,88.333,88.333,88.333,96.296,96.633,96.296,96.296,96.296,96.296,,100.000,99.663,93.939,93.939,93.939,92.256,99.663,92.256,96.970,96.970,96.296,90.000,88.333,96.970,95.960,96.633,84.333,84.333,84.333,88.333,88.333,88.333,88.333,88.333,90.667,90.667,90.667,96.970,96.970,96.970,95.960,96.296,95.960,96.296,96.296,96.296,95.286,92.593,92.593,92.593,92.256,92.256,92.593,91.582,91.582,91.246,93.603,88.000
RMNH.INS.1271332_Ae_rusticus - ND4L CDS,88.667,89.000,88.333,87.205,87.205,87.205,94.276,94.276,94.276,88.333,88.333,88.333,87.333,87.333,87.333,88.333,89.333,89.333,87.000,87.000,87.000,93.266,93.939,93.603,88.333,88.333,88.333,96.296,96.633,96.296,96.296,96.296,96.296,100.000,,99.663,93.939,93.939,93.939,92.256,99.663,92.256,96.970,96.970,96.296,90.000,88.333,96.970,95.960,96.633,84.333,84.333,84.333,88.333,88.333,88.333,88.333,88.333,90.667,90.667,90.667,96.970,96.970,96.970,95.960,96.296,95.960,96.296,96.296,96.296,95.286,92.593,92.593,92.593,92.256,92.256,92.593,91.582,91.582,91.246,93.603,88.000
RMNH.INS.1271333_Ae_rusticus - ND4L CDS,88.333,88.667,88.000,86.869,86.869,86.869,93.939,93.939,93.939,88.000,88.000,88.000,87.000,87.000,87.000,88.000,89.000,89.000,86.667,86.667,86.667,92.929,93.603,93.266,88.000,88.000,88.000,95.960,96.296,95.960,95.960,95.960,95.960,99.663,99.663,,93.603,93.603,93.603,91.919,99.327,91.919,96.633,96.633,95.960,89.667,88.000,96.633,95.623,96.296,84.000,84.000,84.000,88.000,88.000,88.000,88.000,88.000,90.333,90.333,90.333,96.633,96.633,96.633,95.623,95.960,95.623,95.960,95.960,95.960,94.949,92.256,92.256,92.256,91.919,91.919,92.256,91.246,91.246,90.909,93.266,87.667
RMNH.INS.1271334_Ae_communis - ND4L CDS,87.667,88.000,87.333,86.532,86.532,86.532,93.266,93.266,93.266,90.000,90.000,90.000,88.333,88.333,88.333,86.000,87.000,87.000,85.333,85.333,85.333,91.582,91.582,91.582,88.667,88.667,88.667,94.949,95.286,94.613,94.949,94.949,94.949,93.939,93.939,93.603,,100.000,100.000,94.949,93.939,94.949,93.603,93.603,92.929,90.667,90.000,95.623,94.949,95.623,85.667,85.667,85.667,90.000,90.000,88.000,88.000,88.000,88.667,88.667,88.667,95.286,95.286,95.286,94.949,95.960,94.949,94.613,94.613,94.613,94.949,89.899,89.899,89.899,93.266,93.266,93.603,89.226,89.226,89.226,91.582,88.333
RMNH.INS.1271335_Ae_communis - ND4L CDS,87.667,88.000,87.333,86.532,86.532,86.532,93.266,93.266,93.266,90.000,90.000,90.000,88.333,88.333,88.333,86.000,87.000,87.000,85.333,85.333,85.333,91.582,91.582,91.582,88.667,88.667,88.667,94.949,95.286,94.613,94.949,94.949,94.949,93.939,93.939,93.603,100.000,,100.000,94.949,93.939,94.949,93.603,93.603,92.929,90.667,90.000,95.623,94.949,95.623,85.667,85.667,85.667,90.000,90.000,88.000,88.000,88.000,88.667,88.667,88.667,95.286,95.286,95.286,94.949,95.960,94.949,94.613,94.613,94.613,94.949,89.899,89.899,89.899,93.266,93.266,93.603,89.226,89.226,89.226,91.582,88.333
RMNH.INS.1271336_Ae_communis - ND4L CDS,87.667,88.000,87.333,86.532,86.532,86.532,93.266,93.266,93.266,90.000,90.000,90.000,88.333,88.333,88.333,86.000,87.000,87.000,85.333,85.333,85.333,91.582,91.582,91.582,88.667,88.667,88.667,94.949,95.286,94.613,94.949,94.949,94.949,93.939,93.939,93.603,100.000,100.000,,94.949,93.939,94.949,93.603,93.603,92.929,90.667,90.000,95.623,94.949,95.623,85.667,85.667,85.667,90.000,90.000,88.000,88.000,88.000,88.667,88.667,88.667,95.286,95.286,95.286,94.949,95.960,94.949,94.613,94.613,94.613,94.949,89.899,89.899,89.899,93.266,93.266,93.603,89.226,89.226,89.226,91.582,88.333
RMNH.INS.1271337_Ae_punctor - ND4L CDS,84.667,85.000,84.333,83.838,83.838,83.838,90.572,90.572,90.572,87.667,87.667,87.667,85.667,85.667,85.667,85.000,86.000,86.000,83.000,83.000,83.000,90.572,90.909,90.572,87.667,87.667,87.667,92.929,93.266,92.593,92.929,92.929,92.929,92.256,92.256,91.919,94.949,94.949,94.949,,92.256,100.000,90.572,90.572,89.899,88.333,87.667,92.929,92.256,92.929,84.667,84.667,84.667,87.667,87.667,86.000,86.000,86.000,86.333,86.333,86.333,91.919,91.919,91.919,92.256,92.593,92.256,92.593,92.593,92.593,91.919,87.879,87.879,87.879,90.236,90.236,90.572,88.215,88.552,88.215,90.572,85.333
RMNH.INS.1271338_Ae_rusticus - ND4L CDS,88.667,89.000,88.333,86.869,86.869,86.869,94.276,94.276,94.276,88.333,88.333,88.333,87.333,87.333,87.333,88.000,89.000,89.000,87.000,87.000,87.000,93.266,93.939,93.603,88.333,88.333,88.333,96.296,96.633,96.296,96.296,96.296,96.296,99.663,99.663,99.327,93.939,93.939,93.939,92.256,,92.256,96.633,96.633,95.960,90.000,88.333,96.970,95.960,96.633,84.333,84.333,84.333,88.333,88.333,88.333,88.333,88.333,90.333,90.333,90.333,96.970,96.970,96.970,95.960,96.296,95.960,96.296,96.296,96.296,95.286,92.256,92.256,92.256,92.256,92.256,92.593,91.246,91.246,90.909,93.603,88.000
RMNH.INS.1271339_Ae_punctor - ND4L CDS,84.667,85.000,84.333,83.838,83.838,83.838,90.572,90.572,90.572,87.667,87.667,87.667,85.667,85.667,85.667,85.000,86.000,86.000,83.000,83.000,83.000,90.572,90.909,90.572,87.667,87.667,87.667,92.929,93.266,92.593,92.929,92.929,92.929,92.256,92.256,91.919,94.949,94.949,94.949,100.000,92.256,,90.572,90.572,89.899,88.333,87.667,92.929,92.256,92.929,84.667,84.667,84.667,87.667,87.667,86.000,86.000,86.000,86.333,86.333,86.333,91.919,91.919,91.919,92.256,92.593,92.256,92.593,92.593,92.593,91.919,87.879,87.879,87.879,90.236,90.236,90.572,88.215,88.552,88.215,90.572,85.333
RMNH.INS.1271340_Ae_geniculatus - ND4L CDS,87.667,88.000,87.333,88.215,88.215,88.215,93.939,93.939,93.939,88.000,88.000,88.000,86.667,86.667,86.667,88.000,89.000,89.000,86.667,86.667,86.667,92.593,92.929,92.929,88.667,88.667,88.667,95.286,95.623,95.286,95.286,95.286,95.286,96.970,96.970,96.633,93.603,93.603,93.603,90.572,96.633,90.572,,100.000,99.327,89.000,88.000,95.960,95.286,95.623,83.667,83.667,83.667,88.000,88.000,87.333,87.333,87.333,90.667,90.667,90.667,95.960,95.960,95.960,95.623,95.960,95.286,95.960,95.960,95.960,95.623,92.929,92.929,92.929,92.256,92.256,92.593,92.593,91.919,92.256,92.929,88.333
RMNH.INS.1271341_Ae_geniculatus - ND4L CDS,87.667,88.000,87.333,88.215,88.215,88.215,93.939,93.939,93.939,88.000,88.000,88.000,86.667,86.667,86.667,88.000,89.000,89.000,86.667,86.667,86.667,92.593,92.929,92.929,88.667,88.667,88.667,95.286,95.623,95.286,95.286,95.286,95.286,96.970,96.970,96.633,93.603,93.603,93.603,90.572,96.633,90.572,100.000,,99.327,89.000,88.000,95.960,95.286,95.623,83.667,83.667,83.667,88.000,88.000,87.333,87.333,87.333,90.667,90.667,90.667,95.960,95.960,95.960,95.623,95.960,95.286,95.960,95.960,95.960,95.623,92.929,92.929,92.929,92.256,92.256,92.593,92.593,91.919,92.256,92.929,88.333
RMNH.INS.1271342_Ae_geniculatus - ND4L CDS,87.000,87.333,86.667,87.542,87.542,87.542,93.266,93.266,93.266,87.333,87.333,87.333,86.000,86.000,86.000,87.333,88.333,88.333,86.000,86.000,86.000,91.919,92.256,92.256,88.333,88.333,88.333,94.613,94.949,94.613,94.613,94.613,94.613,96.296,96.296,95.960,92.929,92.929,92.929,89.899,95.960,89.899,99.327,99.327,,88.333,87.333,95.286,94.613,94.949,83.000,83.000,83.000,87.333,87.333,86.667,86.667,86.667,90.000,90.000,90.000,95.286,95.286,95.286,94.949,95.286,94.613,95.286,95.286,95.286,94.949,92.256,92.256,92.256,91.582,91.582,91.919,91.919,91.246,91.582,92.256,87.667
RMNH.INS.1271344_Cs_subochrea - ND4L CDS,85.667,86.000,85.333,86.333,86.333,86.333,90.333,90.333,90.333,97.667,97.667,97.667,85.333,85.333,85.333,88.667,89.667,89.667,88.000,88.000,88.000,88.333,89.000,88.667,88.333,88.333,88.333,90.667,91.000,90.333,90.667,90.667,90.667,90.000,90.000,89.667,90.667,90.667,90.667,88.333,90.000,88.333,89.000,89.000,88.333,,97.667,90.667,90.000,90.333,84.667,84.667,84.667,97.667,97.667,91.000,91.000,91.000,91.333,91.333,91.333,89.667,89.667,89.667,89.667,90.333,90.000,90.333,90.333,90.333,89.667,87.000,87.000,87.000,89.000,89.000,89.333,85.333,85.333,85.333,88.667,91.333
RMNH.INS.1271345_Cs_annulata - ND4L CDS,84.667,85.000,84.333,87.000,87.000,87.000,88.667,88.667,88.667,100.000,100.000,100.000,84.667,84.667,84.667,88.333,89.333,89.333,87.667,87.667,87.667,87.333,87.667,87.667,89.000,89.000,89.000,89.000,89.333,88.667,89.000,89.000,89.000,88.333,88.333,88.000,90.000,90.000,90.000,87.667,88.333,87.667,88.000,88.000,87.333,97.667,,89.667,89.667,90.000,84.000,84.000,84.000,100.000,100.000,90.000,90.000,90.000,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90.000,89.667,88.667,88.667,88.667,89.333,86.000,86.000,86.000,87.333,87.333,87.667,85.000,85.000,85.000,87.667,90.667
RMNH.INS.1271346_Ae_caspius - ND4L CDS,88.667,89.000,88.333,87.879,87.879,87.879,95.286,95.286,95.286,89.667,89.667,89.667,87.667,87.667,87.667,88.333,89.333,89.333,88.333,88.333,88.333,93.939,93.939,93.939,89.667,89.667,89.667,97.306,97.643,97.306,97.306,97.306,97.306,96.970,96.970,96.633,95.623,95.623,95.623,92.929,96.970,92.929,95.960,95.960,95.286,90.667,89.667,,98.990,99.663,85.667,85.667,85.667,89.667,89.667,89.000,89.000,89.000,91.333,91.333,91.333,97.306,97.306,97.306,96.633,97.306,98.990,97.306,97.306,97.306,96.970,91.582,91.582,91.582,93.939,93.939,94.276,91.246,91.246,91.246,93.939,89.333
RMNH.INS.1271347_Ae_caspius - ND4L CDS,87.667,88.000,87.333,87.879,87.879,87.879,95.286,95.286,95.286,89.667,89.667,89.667,87.000,87.000,87.000,88.000,89.000,89.000,88.000,88.000,88.000,93.266,93.266,93.266,89.000,89.000,89.000,96.296,96.633,96.296,96.296,96.296,96.296,95.960,95.960,95.623,94.949,94.949,94.949,92.256,95.960,92.256,95.286,95.286,94.613,90.000,89.667,98.990,,99.327,85.000,85.000,85.000,89.667,89.667,88.667,88.667,88.667,90.333,90.333,90.333,96.970,96.970,96.970,95.623,96.970,100.000,96.296,96.296,96.296,96.970,90.572,90.572,90.572,92.929,92.929,93.266,90.909,90.909,90.909,93.266,88.667
RMNH.INS.1271348_Ae_caspius - ND4L CDS,88.333,88.667,88.000,88.215,88.215,88.215,95.623,95.623,95.623,90.000,90.000,90.000,87.667,87.667,87.667,88.667,89.667,89.667,88.667,88.667,88.667,93.939,93.939,93.939,89.667,89.667,89.667,96.970,97.306,96.970,96.970,96.970,96.970,96.633,96.633,96.296,95.623,95.623,95.623,92.929,96.633,92.929,95.623,95.623,94.949,90.333,90.000,99.663,99.327,,85.667,85.667,85.667,90.000,90.000,89.333,89.333,89.333,91.000,91.000,91.000,97.643,97.643,97.643,96.296,97.643,99.327,96.970,96.970,96.970,97.306,91.246,91.246,91.246,93.603,93.603,93.939,91.582,91.582,91.582,93.939,89.000
RMNH.INS.1271349_An_plumbeus - ND4L CDS,90.000,90.333,89.667,80.667,80.667,80.667,83.333,83.333,83.333,84.000,84.000,84.000,90.667,90.667,90.667,84.333,85.000,85.000,82.667,82.667,82.667,83.333,83.333,83.333,85.333,85.333,85.333,84.333,84.667,84.000,84.333,85.000,85.000,84.333,84.333,84.000,85.667,85.667,85.667,84.667,84.333,84.667,83.667,83.667,83.000,84.667,84.000,85.667,85.000,85.667,,100.000,100.000,84.000,84.000,83.333,83.333,83.333,83.667,83.667,83.667,84.333,84.333,84.333,85.000,85.333,85.000,84.000,84.000,84.000,85.000,83.000,83.000,83.000,84.333,84.333,84.667,82.000,82.333,81.667,83.333,83.000
RMNH.INS.1271350_An_plumbeus - ND4L CDS,90.000,90.333,89.667,80.667,80.667,80.667,83.333,83.333,83.333,84.000,84.000,84.000,90.667,90.667,90.667,84.333,85.000,85.000,82.667,82.667,82.667,83.333,83.333,83.333,85.333,85.333,85.333,84.333,84.667,84.000,84.333,85.000,85.000,84.333,84.333,84.000,85.667,85.667,85.667,84.667,84.333,84.667,83.667,83.667,83.000,84.667,84.000,85.667,85.000,85.667,100.000,,100.000,84.000,84.000,83.333,83.333,83.333,83.667,83.667,83.667,84.333,84.333,84.333,85.000,85.333,85.000,84.000,84.000,84.000,85.000,83.000,83.000,83.000,84.333,84.333,84.667,82.000,82.333,81.667,83.333,83.000
RMNH.INS.1271351_An_plumbeus - ND4L CDS,90.000,90.333,89.667,80.667,80.667,80.667,83.333,83.333,83.333,84.000,84.000,84.000,90.667,90.667,90.667,84.333,85.000,85.000,82.667,82.667,82.667,83.333,83.333,83.333,85.333,85.333,85.333,84.333,84.667,84.000,84.333,85.000,85.000,84.333,84.333,84.000,85.667,85.667,85.667,84.667,84.333,84.667,83.667,83.667,83.000,84.667,84.000,85.667,85.000,85.667,100.000,100.000,,84.000,84.000,83.333,83.333,83.333,83.667,83.667,83.667,84.333,84.333,84.333,85.000,85.333,85.000,84.000,84.000,84.000,85.000,83.000,83.000,83.000,84.333,84.333,84.667,82.000,82.333,81.667,83.333,83.000
RMNH.INS.1271352_Cs_annulata - ND4L CDS,84.667,85.000,84.333,87.000,87.000,87.000,88.667,88.667,88.667,100.000,100.000,100.000,84.667,84.667,84.667,88.333,89.333,89.333,87.667,87.667,87.667,87.333,87.667,87.667,89.000,89.000,89.000,89.000,89.333,88.667,89.000,89.000,89.000,88.333,88.333,88.000,90.000,90.000,90.000,87.667,88.333,87.667,88.000,88.000,87.333,97.667,100.000,89.667,89.667,90.000,84.000,84.000,84.000,,100.000,90.000,90.000,90.000,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90.000,89.667,88.667,88.667,88.667,89.333,86.000,86.000,86.000,87.333,87.333,87.667,85.000,85.000,85.000,87.667,90.667
RMNH.INS.1271354_Cs_annulata - ND4L CDS,84.667,85.000,84.333,87.000,87.000,87.000,88.667,88.667,88.667,100.000,100.000,100.000,84.667,84.667,84.667,88.333,89.333,89.333,87.667,87.667,87.667,87.333,87.667,87.667,89.000,89.000,89.000,89.000,89.333,88.667,89.000,89.000,89.000,88.333,88.333,88.000,90.000,90.000,90.000,87.667,88.333,87.667,88.000,88.000,87.333,97.667,100.000,89.667,89.667,90.000,84.000,84.000,84.000,100.000,,90.000,90.000,90.000,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90.000,89.667,88.667,88.667,88.667,89.333,86.000,86.000,86.000,87.333,87.333,87.667,85.000,85.000,85.000,87.667,90.667
RMNH.INS.1271355_Cx_pipiens - ND4L CDS,86.000,86.333,85.667,86.333,86.333,86.333,88.667,88.667,88.667,90.000,90.000,90.000,85.333,85.333,85.333,95.286,95.623,95.623,92.256,92.256,92.256,87.000,87.667,87.333,86.667,86.667,86.667,89.000,88.667,89.000,89.000,89.000,88.333,88.333,88.333,88.000,88.000,88.000,88.000,86.000,88.333,86.000,87.333,87.333,86.667,91.000,90.000,89.000,88.667,89.333,83.333,83.333,83.333,90.000,90.000,,100.000,100.000,89.000,89.000,89.000,88.000,88.000,88.000,88.667,90.000,88.667,88.333,88.333,88.333,88.000,86.000,86.000,86.000,87.000,87.000,87.333,85.667,85.667,85.667,87.333,89.000
RMNH.INS.1271356_Cx_pipiens - ND4L CDS,86.000,86.333,85.667,86.333,86.333,86.333,88.667,88.667,88.667,90.000,90.000,90.000,85.333,85.333,85.333,95.286,95.623,95.623,92.256,92.256,92.256,87.000,87.667,87.333,86.667,86.667,86.667,89.000,88.667,89.000,89.000,89.000,88.333,88.333,88.333,88.000,88.000,88.000,88.000,86.000,88.333,86.000,87.333,87.333,86.667,91.000,90.000,89.000,88.667,89.333,83.333,83.333,83.333,90.000,90.000,100.000,,100.000,89.000,89.000,89.000,88.000,88.000,88.000,88.667,90.000,88.667,88.333,88.333,88.333,88.000,86.000,86.000,86.000,87.000,87.000,87.333,85.667,85.667,85.667,87.333,89.000
RMNH.INS.1271357_Cx_pipiens - ND4L CDS,86.000,86.333,85.667,86.333,86.333,86.333,88.667,88.667,88.667,90.000,90.000,90.000,85.333,85.333,85.333,95.286,95.623,95.623,92.256,92.256,92.256,87.000,87.667,87.333,86.667,86.667,86.667,89.000,88.667,89.000,89.000,89.000,88.333,88.333,88.333,88.000,88.000,88.000,88.000,86.000,88.333,86.000,87.333,87.333,86.667,91.000,90.000,89.000,88.667,89.333,83.333,83.333,83.333,90.000,90.000,100.000,100.000,,89.000,89.000,89.000,88.000,88.000,88.000,88.667,90.000,88.667,88.333,88.333,88.333,88.000,86.000,86.000,86.000,87.000,87.000,87.333,85.667,85.667,85.667,87.333,89.000
