,RMNH.INS.1271298_An_messeae - CYTB CDS,RMNH.INS.1271299_An_messeae - CYTB CDS,RMNH.INS.1271300_An_messeae - CYTB CDS,RMNH.INS.1271301_Cq_richiardii - CYTB CDS,RMNH.INS.1271302_Cq_richiardii - CYTB CDS,RMNH.INS.1271303_Cq_richiardii - CYTB CDS,RMNH.INS.1271304_Ae_vexans - CYTB CDS,RMNH.INS.1271305_Ae_vexans - CYTB CDS,RMNH.INS.1271306_Ae_vexans - CYTB CDS,RMNH.INS.1271307_Cs_annulata - CYTB CDS,RMNH.INS.1271308_Cs_annulata - CYTB CDS,RMNH.INS.1271309_Cs_annulata - CYTB CDS,RMNH.INS.1271310_An_claviger - CYTB CDS,RMNH.INS.1271311_An_claviger - CYTB CDS,RMNH.INS.1271312_An_claviger - CYTB CDS,RMNH.INS.1271313_Cx_modestus - CYTB CDS,RMNH.INS.1271314_Cx_modestus - CYTB CDS,RMNH.INS.1271315_Cx_modestus - CYTB CDS,RMNH.INS.1271316_Cx_territans - CYTB CDS,RMNH.INS.1271317_Cx_territans - CYTB CDS,RMNH.INS.1271318_Cx_territans - CYTB CDS,RMNH.INS.1271319_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271320_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271321_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271322_Cs_longiareolata - CYTB CDS,RMNH.INS.1271323_Cs_longiareolata - CYTB CDS,RMNH.INS.1271324_Cs_longiareolata - CYTB CDS,RMNH.INS.1271325_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271326_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271327_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271328_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271329_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271330_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271331_Ae_rusticus - CYTB CDS,RMNH.INS.1271332_Ae_rusticus - CYTB CDS,RMNH.INS.1271333_Ae_rusticus - CYTB CDS,RMNH.INS.1271334_Ae_communis - CYTB CDS,RMNH.INS.1271335_Ae_communis - CYTB CDS,RMNH.INS.1271336_Ae_communis - CYTB CDS,RMNH.INS.1271337_Ae_punctor - CYTB CDS,RMNH.INS.1271338_Ae_rusticus - CYTB CDS,RMNH.INS.1271339_Ae_punctor - CYTB CDS,RMNH.INS.1271340_Ae_geniculatus - CYTB CDS,RMNH.INS.1271341_Ae_geniculatus - CYTB CDS,RMNH.INS.1271342_Ae_geniculatus - CYTB CDS,RMNH.INS.1271344_Cs_subochrea - CYTB CDS,RMNH.INS.1271345_Cs_annulata - CYTB CDS,RMNH.INS.1271346_Ae_caspius - CYTB CDS,RMNH.INS.1271347_Ae_caspius - CYTB CDS,RMNH.INS.1271348_Ae_caspius - CYTB CDS,RMNH.INS.1271349_An_plumbeus - CYTB CDS,RMNH.INS.1271350_An_plumbeus - CYTB CDS,RMNH.INS.1271351_An_plumbeus - CYTB CDS,RMNH.INS.1271352_Cs_annulata - CYTB CDS,RMNH.INS.1271354_Cs_annulata - CYTB CDS,RMNH.INS.1271355_Cx_pipiens - CYTB CDS,RMNH.INS.1271356_Cx_pipiens - CYTB CDS,RMNH.INS.1271357_Cx_pipiens - CYTB CDS,RMNH.INS.1271358_Cs_morsitans - CYTB CDS,RMNH.INS.1271359_Cs_morsitans - CYTB CDS,RMNH.INS.1271360_Cs_morsitans - CYTB CDS,RMNH.INS.1271361_Ae_sticticus - CYTB CDS,RMNH.INS.1271362_Ae_sticticus - CYTB CDS,RMNH.INS.1271363_Ae_sticticus - CYTB CDS,RMNH.INS.1271367_Ae_detritus - CYTB CDS,RMNH.INS.1271368_Ae_detritus - CYTB CDS,RMNH.INS.1271369_Ae_caspius - CYTB CDS,RMNH.INS.1271370_Ae_flavescens - CYTB CDS,RMNH.INS.1271371_Ae_flavescens - CYTB CDS,RMNH.INS.1271372_Ae_flavescens - CYTB CDS,RMNH.INS.1271375_Ae_leucomelas - CYTB CDS,RMNH.INS.1271376_Ae_albopictus - CYTB CDS,RMNH.INS.1271377_Ae_albopictus - CYTB CDS,RMNH.INS.1271378_Ae_albopictus - CYTB CDS,RMNH.INS.1271379_Ae_japonicus - CYTB CDS,RMNH.INS.1271380_Ae_japonicus - CYTB CDS,RMNH.INS.1271381_Ae_japonicus - CYTB CDS,RMNH.INS.1271382_Ae_aegypti - CYTB CDS,RMNH.INS.1271383_Ae_aegypti - CYTB CDS,RMNH.INS.1271384_Ae_aegypti - CYTB CDS,RMNH.INS.1271386_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271389_Cs_ochroptera - CYTB CDS
RMNH.INS.1271324_Cs_longiareolata - CYTB CDS,87.159,87.071,86.631,87.159,86.895,86.895,89.886,89.974,89.886,90.853,90.765,90.853,86.631,86.631,86.719,87.247,87.687,87.687,89.094,89.182,89.094,86.895,86.807,86.807,100.000,100.000,,89.094,89.358,89.270,89.094,89.270,89.094,90.150,90.237,90.062,89.006,88.918,88.918,86.983,90.062,86.983,88.303,88.303,88.303,89.886,90.765,89.798,89.974,89.886,85.928,85.928,85.928,90.765,90.765,87.951,87.951,87.687,88.391,88.391,88.391,87.775,87.775,87.863,88.039,88.654,89.974,89.798,89.798,89.534,89.710,89.622,89.622,89.534,88.391,88.391,88.742,87.511,87.511,87.423,86.807,90.941
RMNH.INS.1271325_Ae_annulipes_cantans - CYTB CDS,86.456,86.192,86.192,84.785,84.785,84.785,90.237,90.150,90.237,89.006,89.006,88.918,85.840,85.752,85.928,87.335,87.687,87.335,88.303,88.303,88.303,87.687,87.511,87.511,89.094,89.094,89.094,,99.296,98.417,99.912,98.593,98.417,91.381,91.381,91.293,92.788,92.700,92.700,91.733,91.293,91.733,91.117,91.117,91.117,88.039,89.006,93.668,93.668,93.755,84.960,84.960,84.960,89.006,89.006,88.303,88.303,88.039,87.071,87.071,87.071,91.469,91.469,91.557,91.996,92.788,93.668,96.482,96.482,96.394,93.843,89.534,89.622,89.710,88.654,88.654,88.654,88.478,88.391,88.478,87.511,89.886
RMNH.INS.1271326_Ae_annulipes_cantans - CYTB CDS,86.368,86.104,86.104,85.048,85.048,85.048,90.325,90.237,90.325,88.830,88.830,88.742,86.016,85.928,86.104,87.511,87.863,87.511,88.039,88.039,88.039,87.335,87.159,87.159,89.358,89.358,89.358,99.296,,98.769,99.384,98.945,98.769,91.205,91.205,91.117,92.524,92.436,92.436,91.557,91.117,91.557,91.029,91.029,91.029,88.039,88.830,93.755,93.755,93.843,84.785,84.785,84.785,88.830,88.830,88.215,88.215,87.951,86.895,86.895,86.895,91.205,91.205,91.293,92.172,92.964,93.755,96.570,96.570,96.482,93.580,89.622,89.710,89.798,88.742,88.742,88.742,88.566,88.478,88.566,87.159,89.886
RMNH.INS.1271327_Ae_annulipes_cantans - CYTB CDS,86.368,86.280,86.104,84.609,84.433,84.433,90.237,90.325,90.237,89.006,89.182,89.094,86.016,85.928,86.104,87.687,88.391,88.039,88.039,88.039,88.039,87.071,86.895,86.895,89.270,89.270,89.270,98.417,98.769,,98.329,98.417,98.241,91.733,91.733,91.645,93.052,92.964,92.964,91.293,91.645,91.293,90.853,90.853,90.853,87.775,89.182,93.404,93.404,93.492,84.785,84.785,84.785,89.182,89.182,88.654,88.654,88.391,87.247,87.247,87.247,91.293,91.293,91.381,92.348,92.612,93.404,96.570,96.570,96.482,93.580,89.446,89.534,89.622,88.742,88.742,88.742,88.039,88.303,88.215,86.895,89.622
RMNH.INS.1271328_Ae_annulipes_cantans - CYTB CDS,86.456,86.192,86.192,84.872,84.872,84.872,90.150,90.062,90.150,89.006,89.006,88.918,85.840,85.752,85.928,87.335,87.687,87.335,88.215,88.215,88.215,87.599,87.423,87.423,89.094,89.094,89.094,99.912,99.384,98.329,,98.681,98.505,91.293,91.293,91.205,92.700,92.612,92.612,91.645,91.205,91.645,91.029,91.029,91.029,88.039,89.006,93.580,93.580,93.668,84.960,84.960,84.960,89.006,89.006,88.215,88.215,87.951,87.071,87.071,87.071,91.381,91.381,91.469,91.909,92.700,93.580,96.394,96.394,96.306,93.755,89.446,89.534,89.622,88.566,88.566,88.566,88.391,88.303,88.391,87.423,89.886
RMNH.INS.1271329_Ae_annulipes_cantans - CYTB CDS,86.104,85.840,85.840,84.785,84.785,84.785,90.150,90.062,90.150,88.566,88.566,88.478,86.104,86.016,86.192,87.159,87.423,87.071,87.863,87.863,87.863,87.335,87.159,87.159,89.270,89.270,89.270,98.593,98.945,98.417,98.681,,99.824,91.117,91.117,91.029,92.436,92.348,92.348,90.941,91.029,90.941,90.765,90.765,90.765,87.599,88.566,93.228,93.228,93.316,84.609,84.609,84.609,88.566,88.566,87.863,87.863,87.599,86.807,86.807,86.807,90.765,90.765,90.853,91.557,92.524,93.228,96.042,96.042,95.954,93.052,89.182,89.270,89.358,88.478,88.478,88.391,88.478,88.566,88.478,87.159,89.622
RMNH.INS.1271330_Ae_annulipes_cantans - CYTB CDS,85.928,85.664,85.664,84.609,84.609,84.609,89.974,89.886,89.974,88.391,88.391,88.303,85.928,85.840,86.016,86.983,87.247,86.895,87.687,87.687,87.687,87.159,86.983,86.983,89.094,89.094,89.094,98.417,98.769,98.241,98.505,99.824,,90.941,90.941,90.853,92.260,92.172,92.172,90.765,90.853,90.765,90.589,90.589,90.589,87.423,88.391,93.052,93.052,93.140,84.433,84.433,84.433,88.391,88.391,87.687,87.687,87.423,86.631,86.631,86.631,90.589,90.589,90.677,91.557,92.524,93.052,95.866,95.866,95.778,93.052,89.006,89.094,89.182,88.303,88.303,88.215,88.303,88.391,88.303,86.983,89.446
RMNH.INS.1271331_Ae_rusticus - CYTB CDS,86.807,86.719,86.280,86.280,86.016,86.016,91.293,91.381,91.293,89.182,89.270,89.182,86.631,86.631,86.719,86.895,87.423,87.247,88.039,88.039,88.039,88.918,88.830,88.830,90.150,90.150,90.150,91.381,91.205,91.733,91.293,91.117,90.941,,99.912,99.912,92.348,92.436,92.436,89.710,99.912,89.710,91.469,91.469,91.469,89.006,89.270,92.084,92.172,92.172,86.280,86.280,86.280,89.270,89.270,88.039,88.039,87.863,87.599,87.599,87.599,90.853,90.853,90.941,90.853,91.205,92.172,92.084,92.084,91.645,91.733,90.853,90.941,90.853,89.974,89.974,89.974,88.918,88.830,89.182,88.830,90.765
RMNH.INS.1271332_Ae_rusticus - CYTB CDS,86.895,86.807,86.368,86.280,86.016,86.016,91.293,91.381,91.293,89.182,89.270,89.182,86.719,86.719,86.807,86.895,87.423,87.247,88.039,88.039,88.039,88.830,88.742,88.742,90.237,90.237,90.237,91.381,91.205,91.733,91.293,91.117,90.941,99.912,,99.824,92.260,92.348,92.348,89.622,99.824,89.622,91.469,91.469,91.469,89.006,89.270,92.084,92.172,92.172,86.368,86.368,86.368,89.270,89.270,88.039,88.039,87.863,87.599,87.599,87.599,90.765,90.765,90.853,90.853,91.205,92.172,92.084,92.084,91.645,91.733,90.853,90.941,90.853,89.974,89.974,89.974,88.918,88.830,89.182,88.742,90.765
RMNH.INS.1271333_Ae_rusticus - CYTB CDS,86.719,86.631,86.192,86.192,85.928,85.928,91.205,91.293,91.205,89.094,89.182,89.094,86.544,86.544,86.631,86.807,87.335,87.159,87.951,87.951,87.951,88.830,88.742,88.742,90.062,90.062,90.062,91.293,91.117,91.645,91.205,91.029,90.853,99.912,99.824,,92.260,92.348,92.348,89.622,99.824,89.622,91.381,91.381,91.381,88.918,89.182,91.996,92.084,92.084,86.192,86.192,86.192,89.182,89.182,87.951,87.951,87.775,87.511,87.511,87.511,90.765,90.765,90.853,90.765,91.117,92.084,91.996,91.996,91.557,91.645,90.765,90.853,90.765,89.886,89.886,89.886,88.830,88.742,89.094,88.742,90.677
RMNH.INS.1271334_Ae_communis - CYTB CDS,86.280,86.192,86.104,85.400,85.136,85.136,89.886,89.974,89.886,88.918,89.006,88.918,85.312,85.312,85.400,87.599,88.478,88.127,87.335,87.335,87.335,86.807,86.544,86.631,89.006,89.006,89.006,92.788,92.524,93.052,92.700,92.436,92.260,92.348,92.260,92.260,,99.912,99.912,92.876,92.260,92.876,91.205,91.205,91.205,89.006,89.006,93.668,93.668,93.755,84.960,84.960,84.960,89.006,89.006,88.127,88.127,87.863,87.687,87.687,87.687,91.381,91.381,91.469,92.964,92.876,93.668,93.140,93.140,93.052,92.348,89.622,89.710,89.622,89.710,89.710,89.446,88.127,87.863,88.127,86.631,89.446
RMNH.INS.1271335_Ae_communis - CYTB CDS,86.192,86.104,86.016,85.488,85.224,85.224,89.974,90.062,89.974,88.830,88.918,88.830,85.224,85.224,85.312,87.511,88.391,88.039,87.423,87.423,87.423,86.895,86.631,86.719,88.918,88.918,88.918,92.700,92.436,92.964,92.612,92.348,92.172,92.436,92.348,92.348,99.912,,100.000,92.788,92.348,92.788,91.293,91.293,91.293,88.918,88.918,93.580,93.580,93.668,84.872,84.872,84.872,88.918,88.918,88.039,88.039,87.775,87.599,87.599,87.599,91.293,91.293,91.381,92.876,92.788,93.580,93.052,93.052,92.964,92.260,89.710,89.798,89.710,89.798,89.798,89.534,88.215,87.951,88.215,86.719,89.358
RMNH.INS.1271336_Ae_communis - CYTB CDS,86.192,86.104,86.016,85.488,85.224,85.224,89.974,90.062,89.974,88.830,88.918,88.830,85.224,85.224,85.312,87.511,88.391,88.039,87.423,87.423,87.423,86.895,86.631,86.719,88.918,88.918,88.918,92.700,92.436,92.964,92.612,92.348,92.172,92.436,92.348,92.348,99.912,100.000,,92.788,92.348,92.788,91.293,91.293,91.293,88.918,88.918,93.580,93.580,93.668,84.872,84.872,84.872,88.918,88.918,88.039,88.039,87.775,87.599,87.599,87.599,91.293,91.293,91.381,92.876,92.788,93.580,93.052,93.052,92.964,92.260,89.710,89.798,89.710,89.798,89.798,89.534,88.215,87.951,88.215,86.719,89.358
RMNH.INS.1271337_Ae_punctor - CYTB CDS,84.609,84.345,84.521,83.993,83.993,83.993,88.654,88.566,88.654,86.719,86.807,86.719,83.993,83.905,84.081,86.544,86.719,86.456,86.895,86.983,86.895,86.631,86.544,86.807,86.983,86.983,86.983,91.733,91.557,91.293,91.645,90.941,90.765,89.710,89.622,89.622,92.876,92.788,92.788,,89.622,100.000,90.062,90.062,90.062,86.719,86.807,92.524,92.524,92.612,82.938,82.938,82.938,86.807,86.807,86.280,86.368,86.104,86.544,86.544,86.544,90.325,90.325,90.413,90.501,90.325,92.524,91.469,91.469,91.381,90.501,88.478,88.566,88.478,88.127,88.127,88.039,86.807,86.895,87.247,86.807,88.391
RMNH.INS.1271338_Ae_rusticus - CYTB CDS,86.719,86.631,86.192,86.192,85.928,85.928,91.205,91.293,91.205,89.094,89.182,89.094,86.544,86.544,86.631,86.807,87.335,87.159,87.951,87.951,87.951,88.830,88.742,88.742,90.062,90.062,90.062,91.293,91.117,91.645,91.205,91.029,90.853,99.912,99.824,99.824,92.260,92.348,92.348,89.622,,89.622,91.381,91.381,91.381,88.918,89.182,91.996,92.084,92.084,86.192,86.192,86.192,89.182,89.182,87.951,87.951,87.775,87.511,87.511,87.511,90.765,90.765,90.853,90.765,91.117,92.084,91.996,91.996,91.557,91.645,90.765,90.853,90.765,89.886,89.886,89.886,88.830,88.742,89.094,88.742,90.677
RMNH.INS.1271339_Ae_punctor - CYTB CDS,84.609,84.345,84.521,83.993,83.993,83.993,88.654,88.566,88.654,86.719,86.807,86.719,83.993,83.905,84.081,86.544,86.719,86.456,86.895,86.983,86.895,86.631,86.544,86.807,86.983,86.983,86.983,91.733,91.557,91.293,91.645,90.941,90.765,89.710,89.622,89.622,92.876,92.788,92.788,100.000,89.622,,90.062,90.062,90.062,86.719,86.807,92.524,92.524,92.612,82.938,82.938,82.938,86.807,86.807,86.280,86.368,86.104,86.544,86.544,86.544,90.325,90.325,90.413,90.501,90.325,92.524,91.469,91.469,91.381,90.501,88.478,88.566,88.478,88.127,88.127,88.039,86.807,86.895,87.247,86.807,88.391
RMNH.INS.1271340_Ae_geniculatus - CYTB CDS,86.280,86.016,86.016,85.312,85.224,85.224,90.237,90.150,90.237,87.687,87.863,87.951,85.488,85.400,85.576,86.983,87.335,86.895,88.303,88.303,88.303,87.423,87.159,87.335,88.303,88.303,88.303,91.117,91.029,90.853,91.029,90.765,90.589,91.469,91.469,91.381,91.205,91.293,91.293,90.062,91.381,90.062,,100.000,100.000,87.951,87.863,91.909,91.909,91.996,84.609,84.609,84.609,87.863,87.863,88.215,88.303,88.127,87.599,87.599,87.599,90.062,90.062,89.974,90.413,90.941,91.909,91.293,91.293,91.293,91.557,88.830,88.918,88.830,89.270,89.270,89.446,88.303,88.039,88.566,87.247,89.974
RMNH.INS.1271341_Ae_geniculatus - CYTB CDS,86.280,86.016,86.016,85.312,85.224,85.224,90.237,90.150,90.237,87.687,87.863,87.951,85.488,85.400,85.576,86.983,87.335,86.895,88.303,88.303,88.303,87.423,87.159,87.335,88.303,88.303,88.303,91.117,91.029,90.853,91.029,90.765,90.589,91.469,91.469,91.381,91.205,91.293,91.293,90.062,91.381,90.062,100.000,,100.000,87.951,87.863,91.909,91.909,91.996,84.609,84.609,84.609,87.863,87.863,88.215,88.303,88.127,87.599,87.599,87.599,90.062,90.062,89.974,90.413,90.941,91.909,91.293,91.293,91.293,91.557,88.830,88.918,88.830,89.270,89.270,89.446,88.303,88.039,88.566,87.247,89.974
RMNH.INS.1271342_Ae_geniculatus - CYTB CDS,86.280,86.016,86.016,85.312,85.224,85.224,90.237,90.150,90.237,87.687,87.863,87.951,85.488,85.400,85.576,86.983,87.335,86.895,88.303,88.303,88.303,87.423,87.159,87.335,88.303,88.303,88.303,91.117,91.029,90.853,91.029,90.765,90.589,91.469,91.469,91.381,91.205,91.293,91.293,90.062,91.381,90.062,100.000,100.000,,87.951,87.863,91.909,91.909,91.996,84.609,84.609,84.609,87.863,87.863,88.215,88.303,88.127,87.599,87.599,87.599,90.062,90.062,89.974,90.413,90.941,91.909,91.293,91.293,91.293,91.557,88.830,88.918,88.830,89.270,89.270,89.446,88.303,88.039,88.566,87.247,89.974
RMNH.INS.1271344_Cs_subochrea - CYTB CDS,86.456,86.368,86.456,85.928,85.664,85.664,89.182,89.270,89.182,96.306,96.482,96.394,85.224,85.224,85.312,87.775,88.215,88.215,88.391,88.391,88.391,87.335,87.335,87.335,89.886,89.886,89.886,88.039,88.039,87.775,88.039,87.599,87.423,89.006,89.006,88.918,89.006,88.918,88.918,86.719,88.918,86.719,87.951,87.951,87.951,,96.482,88.566,88.742,88.654,85.224,85.224,85.224,96.482,96.482,88.039,88.039,87.775,87.687,87.687,87.687,86.895,86.895,86.983,87.423,87.775,88.742,88.303,88.303,88.215,88.303,89.358,89.358,89.270,87.511,87.511,87.423,87.335,87.247,87.687,87.071,90.765
RMNH.INS.1271345_Cs_annulata - CYTB CDS,87.159,86.983,86.719,86.280,86.104,86.104,89.886,89.886,89.886,99.560,100.000,99.912,85.576,85.576,85.664,88.478,88.566,88.391,89.182,89.182,89.182,87.687,87.687,87.687,90.765,90.765,90.765,89.006,88.830,89.182,89.006,88.566,88.391,89.270,89.270,89.182,89.006,88.918,88.918,86.807,89.182,86.807,87.863,87.863,87.863,96.482,,89.094,89.270,89.182,85.752,85.752,85.752,100.000,100.000,89.182,89.182,88.918,88.215,88.215,88.215,87.863,87.863,87.951,87.863,88.478,89.270,89.270,89.270,89.006,88.039,89.710,89.710,89.622,87.775,87.775,87.687,86.456,86.544,86.807,87.599,90.941
RMNH.INS.1271346_Ae_caspius - CYTB CDS,86.895,86.807,86.544,85.752,85.576,85.576,91.117,91.205,91.117,89.094,89.094,89.006,87.247,87.159,87.335,87.423,88.303,88.039,88.127,88.127,88.127,88.039,87.863,87.863,89.798,89.798,89.798,93.668,93.755,93.404,93.580,93.228,93.052,92.084,92.084,91.996,93.668,93.580,93.580,92.524,91.996,92.524,91.909,91.909,91.909,88.566,89.094,,99.824,99.912,85.752,85.752,85.752,89.094,89.094,88.918,88.918,88.742,88.127,88.127,88.127,92.172,92.172,92.260,92.612,93.140,99.824,93.580,93.580,93.316,92.964,91.029,91.117,91.029,90.237,90.237,90.150,89.534,89.710,89.358,87.951,90.853
RMNH.INS.1271347_Ae_caspius - CYTB CDS,87.071,86.983,86.719,85.752,85.576,85.576,91.117,91.205,91.117,89.270,89.270,89.182,87.423,87.335,87.511,87.599,88.478,88.215,88.303,88.303,88.303,88.215,88.039,88.039,89.974,89.974,89.974,93.668,93.755,93.404,93.580,93.228,93.052,92.172,92.172,92.084,93.668,93.580,93.580,92.524,92.084,92.524,91.909,91.909,91.909,88.742,89.270,99.824,,99.912,85.928,85.928,85.928,89.270,89.270,88.742,88.742,88.566,87.951,87.951,87.951,92.348,92.348,92.436,92.612,93.140,100.000,93.755,93.755,93.492,92.964,91.029,91.117,91.029,90.237,90.237,90.150,89.710,89.886,89.534,88.127,90.853
RMNH.INS.1271348_Ae_caspius - CYTB CDS,86.983,86.895,86.631,85.840,85.664,85.664,91.205,91.293,91.205,89.182,89.182,89.094,87.335,87.247,87.423,87.511,88.391,88.127,88.215,88.215,88.215,88.127,87.951,87.951,89.886,89.886,89.886,93.755,93.843,93.492,93.668,93.316,93.140,92.172,92.172,92.084,93.755,93.668,93.668,92.612,92.084,92.612,91.996,91.996,91.996,88.654,89.182,99.912,99.912,,85.840,85.840,85.840,89.182,89.182,88.830,88.830,88.654,88.039,88.039,88.039,92.260,92.260,92.348,92.700,93.228,99.912,93.668,93.668,93.404,93.052,90.941,91.029,90.941,90.325,90.325,90.237,89.622,89.798,89.446,88.039,90.941
RMNH.INS.1271349_An_plumbeus - CYTB CDS,88.566,88.478,88.478,83.641,83.465,83.465,86.016,86.104,86.016,85.840,85.752,85.664,89.710,89.622,89.798,84.872,85.136,85.312,84.872,84.872,84.872,84.521,84.433,84.609,85.928,85.928,85.928,84.960,84.785,84.785,84.960,84.609,84.433,86.280,86.368,86.192,84.960,84.872,84.872,82.938,86.192,82.938,84.609,84.609,84.609,85.224,85.752,85.752,85.928,85.840,,100.000,100.000,85.752,85.752,86.192,86.280,86.104,83.377,83.377,83.377,84.960,84.960,85.048,83.729,84.433,85.928,84.872,84.872,84.609,84.345,85.576,85.664,85.664,84.169,84.169,84.345,84.521,84.609,84.609,84.697,85.752
RMNH.INS.1271350_An_plumbeus - CYTB CDS,88.566,88.478,88.478,83.641,83.465,83.465,86.016,86.104,86.016,85.840,85.752,85.664,89.710,89.622,89.798,84.872,85.136,85.312,84.872,84.872,84.872,84.521,84.433,84.609,85.928,85.928,85.928,84.960,84.785,84.785,84.960,84.609,84.433,86.280,86.368,86.192,84.960,84.872,84.872,82.938,86.192,82.938,84.609,84.609,84.609,85.224,85.752,85.752,85.928,85.840,100.000,,100.000,85.752,85.752,86.192,86.280,86.104,83.377,83.377,83.377,84.960,84.960,85.048,83.729,84.433,85.928,84.872,84.872,84.609,84.345,85.576,85.664,85.664,84.169,84.169,84.345,84.521,84.609,84.609,84.697,85.752
RMNH.INS.1271351_An_plumbeus - CYTB CDS,88.566,88.478,88.478,83.641,83.465,83.465,86.016,86.104,86.016,85.840,85.752,85.664,89.710,89.622,89.798,84.872,85.136,85.312,84.872,84.872,84.872,84.521,84.433,84.609,85.928,85.928,85.928,84.960,84.785,84.785,84.960,84.609,84.433,86.280,86.368,86.192,84.960,84.872,84.872,82.938,86.192,82.938,84.609,84.609,84.609,85.224,85.752,85.752,85.928,85.840,100.000,100.000,,85.752,85.752,86.192,86.280,86.104,83.377,83.377,83.377,84.960,84.960,85.048,83.729,84.433,85.928,84.872,84.872,84.609,84.345,85.576,85.664,85.664,84.169,84.169,84.345,84.521,84.609,84.609,84.697,85.752
RMNH.INS.1271352_Cs_annulata - CYTB CDS,87.159,86.983,86.719,86.280,86.104,86.104,89.886,89.886,89.886,99.560,100.000,99.912,85.576,85.576,85.664,88.478,88.566,88.391,89.182,89.182,89.182,87.687,87.687,87.687,90.765,90.765,90.765,89.006,88.830,89.182,89.006,88.566,88.391,89.270,89.270,89.182,89.006,88.918,88.918,86.807,89.182,86.807,87.863,87.863,87.863,96.482,100.000,89.094,89.270,89.182,85.752,85.752,85.752,,100.000,89.182,89.182,88.918,88.215,88.215,88.215,87.863,87.863,87.951,87.863,88.478,89.270,89.270,89.270,89.006,88.039,89.710,89.710,89.622,87.775,87.775,87.687,86.456,86.544,86.807,87.599,90.941
RMNH.INS.1271354_Cs_annulata - CYTB CDS,87.159,86.983,86.719,86.280,86.104,86.104,89.886,89.886,89.886,99.560,100.000,99.912,85.576,85.576,85.664,88.478,88.566,88.391,89.182,89.182,89.182,87.687,87.687,87.687,90.765,90.765,90.765,89.006,88.830,89.182,89.006,88.566,88.391,89.270,89.270,89.182,89.006,88.918,88.918,86.807,89.182,86.807,87.863,87.863,87.863,96.482,100.000,89.094,89.270,89.182,85.752,85.752,85.752,100.000,,89.182,89.182,88.918,88.215,88.215,88.215,87.863,87.863,87.951,87.863,88.478,89.270,89.270,89.270,89.006,88.039,89.710,89.710,89.622,87.775,87.775,87.687,86.456,86.544,86.807,87.599,90.941
RMNH.INS.1271355_Cx_pipiens - CYTB CDS,87.423,87.159,87.071,85.928,85.752,85.752,88.742,88.654,88.742,88.918,89.182,89.094,84.960,84.785,84.872,91.381,91.645,91.381,90.501,90.501,90.501,87.159,86.895,86.983,87.951,87.951,87.951,88.303,88.215,88.654,88.215,87.863,87.687,88.039,88.039,87.951,88.127,88.039,88.039,86.280,87.951,86.280,88.215,88.215,88.215,88.039,89.182,88.918,88.742,88.830,86.192,86.192,86.192,89.182,89.182,,99.912,99.648,87.951,87.951,87.951,86.983,86.983,87.071,89.446,89.886,88.742,88.478,88.478,88.215,88.039,88.303,88.391,88.303,87.159,87.159,87.247,86.104,86.104,86.016,86.895,89.270
RMNH.INS.1271356_Cx_pipiens - CYTB CDS,87.423,87.159,87.071,85.928,85.752,85.752,88.742,88.654,88.742,88.918,89.182,89.094,84.960,84.785,84.872,91.381,91.645,91.381,90.501,90.501,90.501,87.071,86.807,86.895,87.951,87.951,87.951,88.303,88.215,88.654,88.215,87.863,87.687,88.039,88.039,87.951,88.127,88.039,88.039,86.368,87.951,86.368,88.303,88.303,88.303,88.039,89.182,88.918,88.742,88.830,86.280,86.280,86.280,89.182,89.182,99.912,,99.736,88.039,88.039,88.039,86.983,86.983,87.071,89.446,89.886,88.742,88.478,88.478,88.215,88.039,88.215,88.303,88.215,87.159,87.159,87.247,86.104,86.104,86.016,86.807,89.270
RMNH.INS.1271357_Cx_pipiens - CYTB CDS,87.247,86.983,86.895,85.664,85.488,85.488,88.478,88.391,88.478,88.654,88.918,88.830,84.785,84.609,84.697,91.117,91.381,91.117,90.237,90.237,90.237,86.895,86.631,86.719,87.687,87.687,87.687,88.039,87.951,88.391,87.951,87.599,87.423,87.863,87.863,87.775,87.863,87.775,87.775,86.104,87.775,86.104,88.127,88.127,88.127,87.775,88.918,88.742,88.566,88.654,86.104,86.104,86.104,88.918,88.918,99.648,99.736,,87.775,87.775,87.775,86.807,86.807,86.895,89.182,89.622,88.566,88.215,88.215,87.951,87.775,88.478,88.566,88.478,86.895,86.895,86.983,85.840,85.840,85.752,86.631,89.006
